Cellectis S.A PE Ratio Historical Data,Cellectis S.A PE Ratio Historical Data,Cellectis S.A PE Ratio Historical Data,Cellectis S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.27,,0.0
2024-09-30,2.12,$-1.30,0.0
2024-06-30,1.87,$-1.38,0.0
2024-03-31,2.65,$-1.29,0.0
2023-12-31,3.08,$-1.72,0.0
2023-09-30,1.58,$-1.67,0.0
2023-06-30,1.97,$-1.99,0.0
2023-03-31,1.93,$-2.22,0.0
2022-12-31,2.1,$-2.34,0.0
2022-09-30,2.29,$-2.30,0.0
2022-06-30,2.83,$-2.49,0.0
2022-03-31,4.54,$-2.95,0.0
2021-12-31,8.12,$-2.53,0.0
2021-09-30,12.61,$-2.93,0.0
2021-06-30,15.47,$-2.82,0.0
2021-03-31,20.21,$-2.70,0.0
2020-12-31,27.06,$-1.95,0.0
2020-09-30,18.5,$-1.88,0.0
2020-06-30,17.8,$-1.55,0.0
2020-03-31,9.2,$-1.58,0.0
2019-12-31,17.12,$-2.41,0.0
2019-09-30,10.4,$-2.06,0.0
2019-06-30,15.6,$-2.22,0.0
2019-03-31,18.34,$-1.60,0.0
2018-12-31,16.65,$-1.95,0.0
2018-09-30,28.22,$-2.18,0.0
2018-06-30,28.29,$-2.37,0.0
2018-03-31,31.51,$-2.94,0.0
2017-12-31,29.15,$-2.79,0.0
2017-09-30,28.45,$-2.41,0.0
2017-06-30,25.82,$-2.08,0.0
2017-03-31,24.0,$-1.54,0.0
2016-12-31,16.95,$-1.90,0.0
2016-09-30,24.08,$-1.27,0.0
2016-06-30,26.59,$-1.27,0.0
2016-03-31,27.5,$-1.77,0.0
2015-12-31,31.03,$-0.59,0.0
