Sensient Technologies PE Ratio Historical Data,Sensient Technologies PE Ratio Historical Data,Sensient Technologies PE Ratio Historical Data,Sensient Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.11,,25.21
2024-12-31,71.26,$2.94,24.24
2024-09-30,79.79,$2.09,38.18
2024-06-30,73.37,$2.07,35.44
2024-03-31,68.04,$2.15,31.65
2023-12-31,64.47,$2.22,29.04
2023-09-30,56.73,$3.05,18.6
2023-06-30,68.55,$3.15,21.76
2023-03-31,73.38,$3.26,22.51
2022-12-31,69.52,$3.34,20.82
2022-09-30,65.72,$3.30,19.91
2022-06-30,75.99,$3.25,23.38
2022-03-31,78.79,$2.94,26.8
2021-12-31,93.46,$2.81,33.26
2021-09-30,84.71,$2.75,30.8
2021-06-30,80.14,$2.73,29.36
2021-03-31,71.88,$2.84,25.31
2020-12-31,67.63,$2.58,26.21
2020-09-30,52.62,$1.59,33.09
2020-06-30,47.18,$1.56,30.25
2020-03-31,39.03,$1.65,23.65
2019-12-31,58.9,$1.94,30.36
2019-09-30,60.81,$3.12,19.49
2019-06-30,64.74,$3.49,18.55
2019-03-31,59.43,$3.60,16.51
2018-12-31,48.68,$3.71,13.12
2018-09-30,66.32,$3.24,20.47
2018-06-30,61.73,$2.85,21.66
2018-03-31,60.6,$2.62,23.13
2017-12-31,62.51,$2.03,30.79
2017-09-30,65.44,$2.42,27.04
2017-06-30,68.24,$2.48,27.51
2017-03-31,66.91,$2.42,27.65
2016-12-31,66.08,$2.81,23.52
2016-09-30,63.48,$2.54,24.99
2016-06-30,59.28,$2.35,25.22
2016-03-31,52.74,$2.35,22.44
2015-12-31,51.96,$2.30,22.59
2015-09-30,50.5,$2.40,21.04
2015-06-30,56.08,$2.24,25.03
2015-03-31,56.3,$2.20,25.59
2014-12-31,49.13,$1.52,32.32
2014-09-30,42.44,$1.55,27.38
2014-06-30,44.96,$1.74,25.84
2014-03-31,45.31,$1.80,25.17
2013-12-31,38.78,$2.27,17.09
2013-09-30,38.11,$2.26,16.86
2013-06-30,32.04,$2.29,13.99
2013-03-31,30.77,$2.34,13.15
2012-12-31,27.83,$2.49,11.18
2012-09-30,28.59,$2.51,11.39
2012-06-30,28.39,$2.49,11.4
2012-03-31,29.19,$2.46,11.87
2011-12-31,28.96,$2.41,12.02
2011-09-30,24.73,$2.36,10.48
2011-06-30,27.99,$2.31,12.12
2011-03-31,26.91,$2.22,12.12
2010-12-31,27.4,$2.17,12.63
2010-09-30,22.61,$1.98,11.42
2010-06-30,19.1,$1.86,10.27
2010-03-31,21.27,$1.81,11.75
2009-12-31,19.11,$1.78,10.74
