Movano PE Ratio Historical Data,Movano PE Ratio Historical Data,Movano PE Ratio Historical Data,Movano PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.18,,0.0
2024-09-30,0.36,$-5.11,0.0
2024-06-30,0.28,$-6.75,0.0
2024-03-31,0.41,$-8.40,0.0
2023-12-31,0.78,$-9.75,0.0
2023-09-30,1.09,$-11.69,0.0
2023-06-30,1.09,$-12.89,0.0
2023-03-31,1.23,$-13.49,0.0
2022-12-31,1.3,$-13.79,0.0
2022-09-30,2.75,$-13.04,0.0
2022-06-30,2.39,$-11.54,0.0
2022-03-31,2.71,$-10.64,0.0
2021-12-31,3.8,$-22.64,0.0
