Vivani Medical PE Ratio Historical Data,Vivani Medical PE Ratio Historical Data,Vivani Medical PE Ratio Historical Data,Vivani Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.1,,0.0
2024-09-30,1.17,$-0.45,0.0
2024-06-30,1.26,$-0.47,0.0
2024-03-31,1.85,$-0.50,0.0
2023-12-31,1.02,$-0.50,0.0
2023-09-30,1.02,$-0.56,0.0
2023-06-30,1.21,$-0.39,0.0
2023-03-31,1.0,$-0.26,0.0
2022-12-31,0.85,$-0.14,0.0
2022-09-30,2.28,$-0.02,0.0
2022-06-30,6.09,$-0.06,0.0
2022-03-31,4.29,$-0.06,0.0
2021-12-31,4.89,$-0.06,0.0
2021-09-30,9.57,0,0.0
2021-06-30,14.82,0,0.0
2021-03-31,24.75,$-0.45,0.0
2020-12-31,5.61,$-0.45,0.0
2020-09-30,2.59,$-1.95,0.0
2020-06-30,2.94,$-3.39,0.0
2020-03-31,2.98,$-4.62,0.0
2019-12-31,17.81,$-7.02,0.0
2019-09-30,19.8,$-8.40,0.0
2019-06-30,19.22,$-9.84,0.0
2019-03-31,19.08,$-11.04,0.0
2018-12-31,21.25,$-12.72,0.0
2018-09-30,45.6,$-12.96,0.0
2018-06-30,39.84,$-12.96,0.0
2018-03-31,46.08,$-12.96,0.0
2017-12-31,45.84,$-12.72,0.0
2017-09-30,28.8,$-15.36,0.0
2017-06-30,30.24,$-17.28,0.0
2017-03-31,29.04,$-19.92,0.0
2016-12-31,47.28,$-19.92,0.0
2016-09-30,84.48,$-17.76,0.0
2016-06-30,85.92,$-16.08,0.0
2016-03-31,115.92,$-13.92,0.0
2015-12-31,141.36,$-13.44,0.0
2015-09-30,142.32,$-20.88,0.0
