Royal Caribbean Cruises PE Ratio Historical Data,Royal Caribbean Cruises PE Ratio Historical Data,Royal Caribbean Cruises PE Ratio Historical Data,Royal Caribbean Cruises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,214.72,,20.09
2024-12-31,230.69,$10.69,21.58
2024-09-30,177.36,$9.73,18.23
2024-06-30,159.06,$9.17,17.35
2024-03-31,138.69,$7.76,17.87
2023-12-31,129.19,$6.22,20.77
2023-09-30,91.93,$3.20,28.73
2023-06-30,103.5,$-0.32,0.0
2023-03-31,65.15,$-4.07,0.0
2022-12-31,49.32,$-8.46,0.0
2022-09-30,37.81,$-11.83,0.0
2022-06-30,34.83,$-17.55,0.0
2022-03-31,83.59,$-20.79,0.0
2021-12-31,76.72,$-20.87,0.0
2021-09-30,88.75,$-21.63,0.0
2021-06-30,85.08,$-22.33,0.0
2021-03-31,85.41,$-24.87,0.0
2020-12-31,74.52,$-27.12,0.0
2020-09-30,64.58,$-19.73,0.0
2020-06-30,50.18,$-9.24,0.0
2020-03-31,32.1,$0.84,38.21
2019-12-31,131.64,$8.94,14.73
2019-09-30,106.16,$9.14,11.62
2019-06-30,117.97,$8.80,13.41
2019-03-31,110.91,$8.74,12.69
2018-12-31,94.06,$8.57,10.98
2018-09-30,124.13,$8.41,14.76
2018-06-30,98.45,$8.04,12.24
2018-03-31,111.26,$7.56,14.72
2017-12-31,112.17,$7.53,14.9
2017-09-30,110.94,$7.40,14.99
2017-06-30,101.7,$7.12,14.28
2017-03-31,90.95,$6.47,14.06
2016-12-31,75.67,$5.94,12.74
2016-09-30,68.73,$5.67,12.12
2016-06-30,61.18,$3.49,17.53
2016-03-31,74.48,$3.27,22.78
2015-12-31,91.27,$3.01,30.32
2015-09-30,80.02,$2.56,31.26
2015-06-30,70.41,$3.72,18.93
2015-03-31,72.94,$3.50,20.84
2014-12-31,73.17,$3.42,21.39
2014-09-30,59.5,$2.96,20.1
2014-06-30,48.95,$2.42,20.23
2014-03-31,47.81,$1.91,25.03
2013-12-31,41.35,$2.14,19.32
2013-09-30,33.19,$0.31,107.06
2013-06-30,28.72,$0.34,84.48
2013-03-31,28.53,$0.21,135.85
2012-12-31,29.1,$0.07,415.71
2012-09-30,25.77,$2.04,12.63
2012-06-30,22.12,$2.18,10.14
2012-03-31,24.9,$2.63,9.47
2011-12-31,20.88,$2.84,7.35
2011-09-30,18.17,$2.87,6.33
2011-06-30,31.47,$2.69,11.7
2011-03-31,34.5,$2.54,13.58
2010-12-31,39.3,$2.52,15.59
2010-09-30,26.36,$2.34,11.27
2010-06-30,19.04,$1.77,10.76
2010-03-31,27.58,$1.33,20.74
2009-12-31,21.14,$0.76,27.81
