PermRock Royalty Trust PE Ratio Historical Data,PermRock Royalty Trust PE Ratio Historical Data,PermRock Royalty Trust PE Ratio Historical Data,PermRock Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.02,,9.57
2024-09-30,3.89,$0.42,9.26
2024-06-30,3.73,$0.43,8.67
2024-03-31,3.94,$0.42,9.37
2023-12-31,4.08,$0.51,8.0
2023-09-30,5.97,$0.40,14.93
2023-06-30,4.83,$0.56,8.62
2023-03-31,6.05,$0.72,8.4
2022-12-31,6.53,$0.75,8.71
2022-09-30,5.88,$0.75,7.84
2022-06-30,6.15,$0.64,9.61
2022-03-31,6.95,$0.54,12.88
2021-12-31,5.25,$0.42,12.51
2021-09-30,4.87,$0.47,10.36
2021-06-30,5.07,$0.31,16.37
2021-03-31,4.33,$0.15,28.83
2020-12-31,1.78,$0.16,11.15
2020-09-30,1.25,$0.11,11.34
2020-06-30,1.92,$0.31,6.2
2020-03-31,1.75,$0.53,3.3
2019-12-31,3.51,$0.60,5.85
2019-09-30,5.14,$0.90,5.71
2019-06-30,4.94,$1.04,4.75
2019-03-31,5.05,$1.45,3.48
