Vista Gold PE Ratio Historical Data,Vista Gold PE Ratio Historical Data,Vista Gold PE Ratio Historical Data,Vista Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.76,,9.5
2024-12-31,0.56,$0.08,6.98
2024-09-30,0.78,$0.09,8.63
2024-06-30,0.47,$0.09,5.17
2024-03-31,0.56,$-0.04,0.0
2023-12-31,0.45,$-0.05,0.0
2023-09-30,0.43,$-0.05,0.0
2023-06-30,0.52,$-0.06,0.0
2023-03-31,0.6,$-0.06,0.0
2022-12-31,0.5,$-0.04,0.0
2022-09-30,0.53,$-0.11,0.0
2022-06-30,0.68,$-0.11,0.0
2022-03-31,1.05,$-0.11,0.0
2021-12-31,0.71,$-0.14,0.0
2021-09-30,0.72,$-0.09,0.0
2021-06-30,1.23,$-0.02,0.0
2021-03-31,1.06,$0.00,0.0
2020-12-31,1.08,$0.00,0.0
2020-09-30,1.09,$0.02,54.5
2020-06-30,0.84,$-0.05,0.0
2020-03-31,0.47,$-0.09,0.0
2019-12-31,0.73,$-0.09,0.0
2019-09-30,0.76,$-0.12,0.0
2019-06-30,0.76,$-0.12,0.0
2019-03-31,0.68,$-0.11,0.0
2018-12-31,0.53,$-0.09,0.0
2018-09-30,0.5,$-0.08,0.0
2018-06-30,0.69,$-0.09,0.0
2018-03-31,0.73,$-0.10,0.0
2017-12-31,0.7,$-0.12,0.0
2017-09-30,0.77,$-0.12,0.0
2017-06-30,0.87,$-0.11,0.0
2017-03-31,1.02,$-0.06,0.0
2016-12-31,0.96,$-0.04,0.0
2016-09-30,1.06,$-0.04,0.0
2016-06-30,1.92,$-0.01,0.0
2016-03-31,0.48,$0.01,47.81
2015-12-31,0.28,$0.01,27.54
2015-09-30,0.3,$-0.08,0.0
2015-06-30,0.33,$-0.15,0.0
2015-03-31,0.3,$-0.23,0.0
2014-12-31,0.29,$-0.23,0.0
2014-09-30,0.41,$-0.20,0.0
2014-06-30,0.5,$-0.18,0.0
2014-03-31,0.52,$-0.40,0.0
2013-12-31,0.38,$-0.73,0.0
2013-09-30,0.46,$-1.17,0.0
2013-06-30,0.97,$-0.97,0.0
2013-03-31,2.16,$-1.13,0.0
2012-12-31,2.7,$-0.95,0.0
2012-09-30,3.63,$-0.46,0.0
2012-06-30,2.91,$-0.47,0.0
2012-03-31,3.14,$0.64,4.91
2011-12-31,3.07,$0.74,4.15
2011-09-30,3.34,$0.74,4.51
2011-06-30,2.83,$0.56,5.05
2011-03-31,4.0,$-0.22,0.0
2010-12-31,2.39,$-0.20,0.0
2010-09-30,2.57,$-0.16,0.0
2010-06-30,1.71,$-0.18,0.0
2010-03-31,2.01,$0.02,100.5
2009-12-31,2.45,$0.01,0.0
