Trustmark PE Ratio Historical Data,Trustmark PE Ratio Historical Data,Trustmark PE Ratio Historical Data,Trustmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.95,,9.33
2024-12-31,35.37,$3.64,9.72
2024-09-30,31.63,$3.31,9.56
2024-06-30,29.66,$3.03,9.79
2024-03-31,27.54,$2.57,10.71
2023-12-31,27.08,$2.71,9.99
2023-09-30,20.9,$1.56,13.4
2023-06-30,20.11,$1.69,11.9
2023-03-31,23.26,$1.51,15.4
2022-12-31,32.62,$1.16,28.12
2022-09-30,28.44,$2.14,13.29
2022-06-30,26.91,$1.79,15.03
2022-03-31,27.8,$1.99,13.97
2021-12-31,29.47,$2.34,12.6
2021-09-30,29.04,$2.73,10.64
2021-06-30,27.56,$3.25,8.48
2021-03-31,29.91,$3.00,9.97
2020-12-31,24.09,$2.53,9.52
2020-09-30,18.71,$2.25,8.31
2020-06-30,21.22,$2.03,10.45
2020-03-31,19.97,$2.17,9.2
2019-12-31,29.34,$2.33,12.59
2019-09-30,28.81,$2.35,12.26
2019-06-30,27.89,$2.25,12.39
2019-03-31,28.01,$2.19,12.79
2018-12-31,23.52,$2.22,10.6
2018-09-30,27.84,$1.90,14.65
2018-06-30,26.82,$1.87,14.34
2018-03-31,25.43,$1.63,15.6
2017-12-31,25.81,$1.55,16.65
2017-09-30,26.65,$1.75,15.23
2017-06-30,25.68,$1.70,15.11
2017-03-31,25.2,$1.67,15.09
2016-12-31,28.07,$1.61,17.43
2016-09-30,21.55,$1.59,13.55
2016-06-30,19.28,$1.55,12.44
2016-03-31,17.7,$1.68,10.54
2015-12-31,17.53,$1.71,10.25
2015-09-30,17.47,$1.72,10.16
2015-06-30,18.64,$1.80,10.36
2015-03-31,17.95,$1.84,9.76
2014-12-31,17.96,$1.84,9.76
2014-09-30,16.7,$1.84,9.08
2014-06-30,17.73,$1.83,9.69
2014-03-31,18.03,$1.80,10.01
2013-12-31,18.9,$1.75,10.8
2013-09-30,17.88,$1.76,10.16
2013-06-30,17.01,$1.73,9.84
2013-03-31,17.16,$1.72,9.98
2012-12-31,15.26,$1.81,8.43
2012-09-30,16.36,$1.76,9.3
2012-06-30,16.3,$1.72,9.48
2012-03-31,16.48,$1.76,9.36
2011-12-31,15.87,$1.66,9.56
2011-09-30,11.73,$1.67,7.02
2011-06-30,14.96,$1.65,9.07
2011-03-31,14.82,$1.57,9.44
2010-12-31,15.57,$1.57,9.92
2010-09-30,13.48,$1.41,9.56
2010-06-30,12.76,$1.40,9.11
2010-03-31,14.82,$1.22,12.15
2009-12-31,13.54,$1.26,10.75
