Lands' End PE Ratio Historical Data,Lands' End PE Ratio Historical Data,Lands' End PE Ratio Historical Data,Lands' End PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.16,,0.0
2024-10-31,15.74,$-0.66,0.0
2024-07-31,17.69,$-4.16,0.0
2024-04-30,13.68,$-4.24,0.0
2024-01-31,9.47,$-4.09,0.0
2023-10-31,6.28,$-3.92,0.0
2023-07-31,9.38,$-0.54,0.0
2023-04-30,7.17,$-0.36,0.0
2023-01-31,9.03,$-0.38,0.0
2022-10-31,10.48,$-0.07,0.0
2022-07-31,12.75,$0.29,43.97
2022-04-30,14.02,$0.84,16.69
2022-01-31,18.33,$0.99,18.52
2021-10-31,26.28,$1.38,19.04
2021-07-31,38.33,$1.38,27.78
2021-04-30,23.04,$1.03,22.37
2021-01-31,27.61,$0.31,89.06
2020-10-31,16.05,$0.49,32.76
2020-07-31,8.62,$0.38,22.68
2020-04-30,8.51,$0.16,53.19
2020-01-31,11.65,$0.59,19.75
2019-10-31,12.07,$0.31,38.94
2019-07-31,10.9,$0.30,36.33
2019-04-30,17.51,$0.23,76.13
2019-01-31,17.9,$0.36,49.72
2018-10-31,16.31,$1.10,14.83
2018-07-31,24.25,$1.01,24.01
2018-04-30,19.35,$1.05,18.43
2018-01-31,16.8,$0.89,18.88
2017-10-31,10.9,$-3.31,0.0
2017-07-31,13.5,$-3.55,0.0
2017-04-30,23.6,$-3.49,0.0
2017-01-31,15.35,$-3.43,0.0
2016-10-31,15.6,$-1.70,0.0
2016-07-31,14.21,$-1.14,0.0
2016-04-30,24.33,$-0.85,0.0
2016-01-31,21.78,$-0.62,0.0
2015-10-31,24.68,$1.64,15.05
2015-07-31,23.58,$1.87,12.61
2015-04-30,29.38,$2.01,14.62
2015-01-31,34.69,$2.30,15.08
