Virco Manufacturing PE Ratio Historical Data,Virco Manufacturing PE Ratio Historical Data,Virco Manufacturing PE Ratio Historical Data,Virco Manufacturing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.72,,6.27
2024-10-31,14.03,$1.55,9.05
2024-07-31,17.57,$1.65,10.65
2024-04-30,10.64,$1.56,6.82
2024-01-31,11.92,$1.34,8.89
2023-10-31,6.05,$1.73,3.5
2023-07-31,4.42,$1.59,2.78
2023-04-30,3.7,$1.24,2.98
2023-01-31,4.87,$1.01,4.82
2022-10-31,4.11,$-0.26,0.0
2022-07-31,4.17,$-0.66,0.0
2022-04-30,2.76,$-1.02,0.0
2022-01-31,2.95,$-0.95,0.0
2021-10-31,3.3,$-0.28,0.0
2021-07-31,3.3,$-0.08,0.0
2021-04-30,3.17,$-0.09,0.0
2021-01-31,2.73,$-0.14,0.0
2020-10-31,1.95,$-0.07,0.0
2020-07-31,2.2,$-0.10,0.0
2020-04-30,2.36,$0.05,47.26
2020-01-31,4.11,$0.15,27.41
2019-10-31,3.91,$0.01,391.03
2019-07-31,4.48,$-0.05,0.0
2019-04-30,4.49,$-0.08,0.0
2019-01-31,4.21,$-0.11,0.0
2018-10-31,4.27,$-0.25,0.0
2018-07-31,5.1,$-0.28,0.0
2018-04-30,4.08,$-0.30,0.0
2018-01-31,4.6,$-0.22,0.0
2017-10-31,5.76,$0.01,576.21
2017-07-31,5.32,$1.42,3.75
2017-04-30,4.39,$1.54,2.85
2017-01-31,4.3,$1.48,2.9
2016-10-31,4.25,$1.43,2.97
2016-07-31,4.42,$0.25,17.7
2016-04-30,3.17,$0.29,10.94
2016-01-31,3.03,$0.29,10.44
2015-10-31,3.54,$0.32,11.05
2015-07-31,2.53,$0.24,10.54
2015-04-30,2.59,$0.10,25.88
2015-01-31,2.35,$0.05,47.07
2014-10-31,2.65,$-0.07,0.0
2014-07-31,2.47,$-0.15,0.0
2014-04-30,2.16,$-0.08,0.0
2014-01-31,2.56,$-0.13,0.0
2013-10-31,2.05,$-0.28,0.0
2013-07-31,2.41,$-0.31,0.0
2013-04-30,1.98,$-0.24,0.0
2013-01-31,2.61,$-0.27,0.0
2012-10-31,2.35,$-0.20,0.0
2012-07-31,1.63,$-0.63,0.0
2012-04-30,1.78,$-0.93,0.0
2012-01-31,1.74,$-0.97,0.0
2011-10-31,1.76,$-1.60,0.0
2011-07-31,2.48,$-1.36,0.0
2011-04-30,2.9,$-1.27,0.0
2011-01-31,2.93,$-1.25,0.0
2010-10-31,2.79,$-0.33,0.0
2010-07-31,2.78,$-0.14,0.0
2010-04-30,3.38,$-0.13,0.0
2010-01-31,3.29,$0.02,164.34
2009-10-31,2.57,$0.05,51.34
