LeMaitre Vascular PE Ratio Historical Data,LeMaitre Vascular PE Ratio Historical Data,LeMaitre Vascular PE Ratio Historical Data,LeMaitre Vascular PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.68,,44.16
2024-12-31,92.14,$1.94,47.49
2024-09-30,92.75,$1.83,50.68
2024-06-30,82.0,$1.67,49.1
2024-03-31,66.0,$1.51,43.71
2023-12-31,56.32,$1.34,42.03
2023-09-30,53.91,$1.21,44.55
2023-06-30,66.41,$1.13,58.77
2023-03-31,50.69,$0.93,54.51
2022-12-31,45.2,$0.93,48.6
2022-09-30,49.64,$0.96,51.7
2022-06-30,44.5,$1.01,44.06
2022-03-31,45.27,$1.25,36.22
2021-12-31,48.8,$1.26,38.73
2021-09-30,51.47,$1.32,38.99
2021-06-30,59.04,$1.39,42.47
2021-03-31,47.09,$1.16,40.59
2020-12-31,39.0,$1.04,37.5
2020-09-30,31.25,$0.93,33.6
2020-06-30,25.29,$0.81,31.22
2020-03-31,23.78,$0.87,27.33
2019-12-31,34.19,$0.88,38.85
2019-09-30,32.43,$0.95,34.13
2019-06-30,26.47,$0.91,29.09
2019-03-31,29.24,$1.11,26.34
2018-12-31,22.23,$1.13,19.68
2018-09-30,36.34,$1.04,34.95
2018-06-30,31.35,$1.08,29.03
2018-03-31,33.86,$0.88,38.47
2017-12-31,29.7,$0.85,34.94
2017-09-30,34.85,$0.77,45.25
2017-06-30,29.02,$0.69,42.07
2017-03-31,22.86,$0.60,38.09
2016-12-31,23.46,$0.55,42.66
2016-09-30,18.34,$0.55,33.34
2016-06-30,13.15,$0.49,26.84
2016-03-31,14.26,$0.45,31.7
2015-12-31,15.8,$0.42,37.62
2015-09-30,11.13,$0.40,27.83
2015-06-30,10.98,$0.34,32.31
2015-03-31,7.6,$0.32,23.76
2014-12-31,6.91,$0.23,30.02
2014-09-30,6.18,$0.17,36.35
2014-06-30,7.39,$0.17,43.49
2014-03-31,7.18,$0.15,47.89
2013-12-31,7.1,$0.21,33.8
2013-09-30,5.92,$0.20,29.58
2013-06-30,5.75,$0.19,30.26
2013-03-31,5.42,$0.18,30.14
2012-12-31,5.0,$0.15,33.32
2012-09-30,5.57,$0.13,42.82
2012-06-30,5.18,$0.17,30.48
2012-03-31,5.06,$0.15,33.75
2011-12-31,5.07,$0.13,38.97
2011-09-30,5.3,$0.24,22.1
2011-06-30,6.01,$0.25,24.04
2011-03-31,5.77,$0.31,18.62
2010-12-31,5.72,$0.37,15.46
2010-09-30,5.96,$0.32,18.62
2010-06-30,4.73,$0.31,15.27
2010-03-31,3.8,$0.28,13.58
2009-12-31,4.23,$0.10,42.25
