Group 1 Automotive PE Ratio Historical Data,Group 1 Automotive PE Ratio Historical Data,Group 1 Automotive PE Ratio Historical Data,Group 1 Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,396.3,,10.78
2024-12-31,421.48,$36.75,11.47
2024-09-30,382.62,$37.53,10.2
2024-06-30,296.58,$40.49,7.32
2024-03-31,291.55,$42.36,6.88
2023-12-31,303.5,$42.66,7.11
2023-09-30,267.19,$45.55,5.87
2023-06-30,256.2,$46.38,5.52
2023-03-31,224.3,$46.24,4.85
2022-12-31,178.32,$47.02,3.79
2022-09-30,140.96,$41.10,3.43
2022-06-30,167.18,$37.95,4.41
2022-03-31,164.9,$36.40,4.53
2021-12-31,191.43,$30.04,6.37
2021-09-30,183.9,$30.63,6.0
2021-06-30,150.85,$28.13,5.36
2021-03-31,153.82,$19.41,7.92
2020-12-31,127.58,$15.50,8.23
2020-09-30,85.77,$12.64,6.79
2020-06-30,64.02,$7.85,8.15
2020-03-31,42.95,$8.86,4.85
2019-12-31,96.7,$9.33,10.36
2019-09-30,89.01,$8.38,10.62
2019-06-30,78.67,$8.08,9.74
2019-03-31,61.93,$8.16,7.59
2018-12-31,50.25,$7.78,6.46
2018-09-30,61.58,$11.43,5.39
2018-06-30,59.58,$11.12,5.36
2018-03-31,61.56,$10.24,6.01
2017-12-31,66.61,$10.12,6.58
2017-09-30,67.8,$6.29,10.78
2017-06-30,59.0,$6.51,9.06
2017-03-31,68.76,$6.79,10.13
2016-12-31,72.12,$6.68,10.8
2016-09-30,58.92,$3.83,15.38
2016-06-30,45.36,$4.06,11.17
2016-03-31,53.73,$3.85,13.95
2015-12-31,69.02,$3.85,17.93
2015-09-30,77.43,$6.03,12.84
2015-06-30,82.4,$5.18,15.91
2015-03-31,78.13,$3.89,20.08
2014-12-31,80.91,$3.61,22.41
2014-09-30,65.51,$3.65,17.95
2014-06-30,75.79,$3.81,19.89
2014-03-31,58.9,$4.62,12.75
2013-12-31,63.55,$4.31,14.74
2013-09-30,69.34,$4.20,16.51
2013-06-30,57.29,$4.33,13.23
2013-03-31,53.36,$4.10,13.02
2012-12-31,54.93,$4.19,13.11
2012-09-30,53.24,$4.39,12.13
2012-06-30,40.2,$4.01,10.03
2012-03-31,49.37,$3.87,12.76
2011-12-31,45.41,$3.56,12.75
2011-09-30,31.08,$3.12,9.96
2011-06-30,35.88,$3.01,11.92
2011-03-31,37.19,$2.49,14.94
2010-12-31,36.19,$2.17,16.68
2010-09-30,25.83,$1.63,15.85
2010-06-30,20.34,$1.58,12.87
2010-03-31,27.54,$1.47,18.74
2009-12-31,24.51,$1.50,16.34
