Inozyme Pharma PE Ratio Historical Data,Inozyme Pharma PE Ratio Historical Data,Inozyme Pharma PE Ratio Historical Data,Inozyme Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.95,,0.0
2024-12-31,2.77,$-1.21,0.0
2024-09-30,5.23,$-1.56,0.0
2024-06-30,4.46,$-1.46,0.0
2024-03-31,7.66,$-1.37,0.0
2023-12-31,4.26,$-1.39,0.0
2023-09-30,4.2,$-1.46,0.0
2023-06-30,5.57,$-1.55,0.0
2023-03-31,5.73,$-1.58,0.0
2022-12-31,1.05,$-1.89,0.0
2022-09-30,2.68,$-2.26,0.0
2022-06-30,4.77,$-2.48,0.0
2022-03-31,4.09,$-2.63,0.0
2021-12-31,6.82,$-2.39,0.0
2021-09-30,11.59,$-1.60,0.0
2021-06-30,17.04,$-2.55,0.0
