TMC The Metals Company PE Ratio Historical Data,TMC The Metals Company PE Ratio Historical Data,TMC The Metals Company PE Ratio Historical Data,TMC The Metals Company PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.77,,0.0
2024-09-30,1.06,$-0.31,0.0
2024-06-30,1.35,$-0.29,0.0
2024-03-31,1.43,$-0.28,0.0
2023-12-31,1.1,$-0.20,0.0
2023-09-30,0.99,$-0.50,0.0
2023-06-30,1.63,$-0.58,0.0
2023-03-31,0.83,$-0.58,0.0
2022-12-31,0.77,$-0.67,0.0
2022-09-30,1.05,$-0.35,0.0
2022-06-30,1.03,$-0.41,0.0
2022-03-31,2.59,$-0.36,0.0
2021-12-31,2.08,$-0.27,0.0
2021-09-30,4.57,$-0.18,0.0
2021-06-30,9.95,0,0.0
2021-03-31,9.93,0,0.0
