Fortune Brands Innovations PE Ratio Historical Data,Fortune Brands Innovations PE Ratio Historical Data,Fortune Brands Innovations PE Ratio Historical Data,Fortune Brands Innovations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,63.01,,16.8
2024-12-31,68.33,$3.75,18.22
2024-09-30,89.25,$3.55,25.14
2024-06-30,64.55,$3.53,18.29
2024-03-31,83.87,$3.27,25.65
2023-12-31,75.2,$3.17,23.72
2023-09-30,61.18,$3.38,18.1
2023-06-30,70.57,$3.88,18.19
2023-03-31,57.39,$4.54,12.64
2022-12-31,55.6,$5.22,10.65
2022-09-30,52.05,$5.65,9.21
2022-06-30,57.81,$5.53,10.45
2022-03-31,71.43,$5.62,12.71
2021-12-31,102.45,$5.54,18.49
2021-09-30,85.49,$5.42,15.77
2021-06-30,94.99,$5.14,18.48
2021-03-31,91.15,$4.42,20.62
2020-12-31,81.29,$3.93,20.68
2020-09-30,81.81,$3.51,23.31
2020-06-30,60.28,$3.09,19.51
2020-03-31,40.62,$3.23,12.58
2019-12-31,61.13,$3.06,19.98
2019-09-30,51.01,$2.92,17.47
2019-06-30,53.04,$2.86,18.55
2019-03-31,44.01,$2.77,15.89
2018-12-31,34.96,$2.66,13.14
2018-09-30,48.18,$2.89,16.67
2018-06-30,49.22,$3.03,16.24
2018-03-31,53.8,$3.05,17.64
2017-12-31,62.33,$3.06,20.37
2017-09-30,61.05,$2.90,21.05
2017-06-30,59.08,$2.84,20.8
2017-03-31,54.95,$2.74,20.05
2016-12-31,48.12,$2.59,18.58
2016-09-30,52.15,$2.46,21.2
2016-06-30,51.9,$2.35,22.09
2016-03-31,50.04,$2.03,24.65
2015-12-31,49.4,$1.93,25.6
2015-09-30,42.15,$1.67,25.24
2015-06-30,40.56,$0.88,46.09
2015-03-31,41.9,$0.95,44.11
2014-12-31,39.84,$0.94,42.38
2014-09-30,36.08,$1.03,35.03
2014-06-30,34.95,$1.53,22.84
2014-03-31,36.72,$1.35,27.2
2013-12-31,39.77,$1.33,29.91
2013-09-30,36.15,$1.07,33.78
2013-06-30,33.55,$0.94,35.69
2013-03-31,32.34,$0.86,37.6
2012-12-31,25.25,$0.72,35.06
2012-09-30,23.34,$0.17,137.27
2012-06-30,19.24,$0.06,320.68
