Silicom PE Ratio Historical Data,Silicom PE Ratio Historical Data,Silicom PE Ratio Historical Data,Silicom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.78,,0.0
2024-09-30,13.7,$-3.00,0.0
2024-06-30,15.12,$-2.38,0.0
2024-03-31,14.85,$-1.57,0.0
2023-12-31,18.1,$-0.50,0.0
2023-09-30,26.1,$2.08,12.55
2023-06-30,36.86,$2.78,13.26
2023-03-31,37.48,$2.89,12.97
2022-12-31,42.15,$2.69,15.67
2022-09-30,35.34,$2.35,15.04
2022-06-30,33.65,$1.85,18.19
2022-03-31,39.37,$1.47,26.78
2021-12-31,51.6,$1.52,33.95
2021-09-30,43.25,$1.16,37.28
2021-06-30,44.06,$1.07,41.18
2021-03-31,45.12,$0.96,47.0
2020-12-31,41.85,$0.79,52.97
2020-09-30,32.39,$1.00,32.39
2020-06-30,36.7,$0.96,38.23
2020-03-31,27.0,$1.08,25.0
2019-12-31,33.26,$1.36,24.46
2019-09-30,31.6,$2.32,13.62
2019-06-30,32.48,$2.56,12.69
2019-03-31,38.25,$2.58,14.83
2018-12-31,34.94,$1.91,18.29
2018-09-30,40.56,$1.96,20.69
2018-06-30,38.46,$2.07,18.58
2018-03-31,34.41,$2.30,14.96
2017-12-31,70.11,$2.84,24.69
2017-09-30,58.51,$2.10,27.86
2017-06-30,44.36,$1.93,22.98
2017-03-31,49.67,$1.86,26.7
2016-12-31,40.24,$1.77,22.74
2016-09-30,40.54,$1.77,22.91
2016-06-30,29.28,$2.30,12.73
2016-03-31,33.43,$2.10,15.92
2015-12-31,28.83,$2.25,12.81
2015-09-30,25.68,$2.30,11.17
2015-06-30,35.06,$1.68,20.87
2015-03-31,38.37,$1.85,20.74
2014-12-31,32.68,$1.99,16.42
2014-09-30,27.07,$2.25,12.03
2014-06-30,38.96,$2.46,15.84
2014-03-31,56.7,$2.46,23.05
2013-12-31,41.78,$2.34,17.86
2013-09-30,33.91,$1.86,18.23
2013-06-30,31.33,$1.68,18.65
2013-03-31,25.29,$1.56,16.21
2012-12-31,16.09,$1.41,11.41
2012-09-30,13.91,$1.32,10.54
2012-06-30,12.43,$1.25,9.94
2012-03-31,16.0,$1.20,13.33
2011-12-31,15.73,$1.17,13.44
2011-09-30,12.44,$1.11,11.21
2011-06-30,17.94,$1.02,17.58
2011-03-31,16.49,$0.94,17.55
2010-12-31,16.71,$0.83,20.13
2010-09-30,12.48,$0.74,16.87
2010-06-30,7.48,$0.58,12.9
2010-03-31,9.6,$0.42,22.85
2009-12-31,7.43,$0.41,18.11
