Gencor Industries PE Ratio Historical Data,Gencor Industries PE Ratio Historical Data,Gencor Industries PE Ratio Historical Data,Gencor Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.55,,12.32
2024-06-30,19.34,$1.10,17.58
2024-03-31,16.69,$1.15,14.51
2023-12-31,16.14,$1.06,15.23
2023-09-30,14.13,$1.00,14.13
2023-06-30,15.58,$0.82,19.0
2023-03-31,15.37,$0.53,29.0
2022-12-31,10.1,$0.23,43.91
2022-09-30,9.01,$-0.03,0.0
2022-06-30,10.16,$-0.09,0.0
2022-03-31,10.28,$0.14,73.43
2021-12-31,11.53,$0.27,42.7
2021-09-30,11.09,$0.40,27.73
2021-06-30,12.16,$0.39,31.18
2021-03-31,13.41,$0.52,25.79
2020-12-31,12.3,$0.32,38.44
2020-09-30,11.03,$0.38,29.03
2020-06-30,12.64,$0.42,30.1
2020-03-31,10.5,$0.30,35.0
2019-12-31,11.67,$0.85,13.73
2019-09-30,11.61,$0.70,16.59
2019-06-30,13.0,$0.95,13.68
2019-03-31,12.36,$0.96,12.88
2018-12-31,10.97,$0.71,15.45
2018-09-30,12.05,$0.85,14.18
2018-06-30,16.15,$0.67,24.1
2018-03-31,16.1,$0.67,24.03
2017-12-31,16.55,$0.64,25.86
2017-09-30,17.65,$0.58,30.43
2017-06-30,16.2,$0.63,25.71
2017-03-31,14.95,$0.67,22.31
2016-12-31,15.7,$0.55,28.38
2016-09-30,11.98,$0.56,21.39
2016-06-30,10.35,$0.29,36.09
2016-03-31,9.75,$0.09,112.42
2015-12-31,7.53,$0.05,141.07
2015-09-30,6.03,$-0.13,0.0
2015-06-30,6.45,$-0.02,0.0
2015-03-31,6.67,$0.07,91.04
2014-12-31,6.27,$0.13,49.5
2014-09-30,6.55,$0.24,27.29
2014-06-30,7.34,$0.44,16.69
2014-03-31,6.89,$0.50,13.78
2013-12-31,6.36,$0.57,11.09
2013-09-30,5.72,$0.47,12.09
2013-06-30,4.74,$0.29,16.54
2013-03-31,4.77,$0.20,23.87
2012-12-31,5.03,$0.19,26.97
2012-09-30,4.93,$0.31,15.75
2012-06-30,5.03,$0.03,151.15
2012-03-31,4.67,$0.02,234.51
2011-12-31,4.63,$-0.00,0.0
2011-09-30,4.83,$0.02,242.88
2011-06-30,5.11,$0.47,10.8
2011-03-31,5.21,$0.29,17.77
2010-12-31,4.83,$0.31,15.76
2010-09-30,4.76,$0.21,22.31
2010-06-30,5.05,$-0.01,0.0
2010-03-31,4.95,$0.04,123.36
2009-12-31,4.98,$-0.17,0.0
