American Outdoor Brands PE Ratio Historical Data,American Outdoor Brands PE Ratio Historical Data,American Outdoor Brands PE Ratio Historical Data,American Outdoor Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.55,,0.0
2025-01-31,17.18,$-0.35,0.0
2024-10-31,8.52,$-0.59,0.0
2024-07-31,9.32,$-0.82,0.0
2024-04-30,7.82,$-0.95,0.0
2024-01-31,8.56,$-0.82,0.0
2023-10-31,8.88,$-0.80,0.0
2023-07-31,9.5,$-0.78,0.0
2023-04-30,8.94,$-0.89,0.0
2023-01-31,10.48,$-6.31,0.0
2022-10-31,8.92,$-5.83,0.0
2022-07-31,7.9,$-5.54,0.0
2022-04-30,12.6,$-4.88,0.0
2022-01-31,16.58,$0.92,18.02
2021-10-31,22.78,$1.21,18.83
2021-07-31,26.98,$1.41,19.13
