HOOKIPA Pharma PE Ratio Historical Data,HOOKIPA Pharma PE Ratio Historical Data,HOOKIPA Pharma PE Ratio Historical Data,HOOKIPA Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.23,,0.0
2024-12-31,2.01,$-1.52,0.0
2024-09-30,4.3,$-3.72,0.0
2024-06-30,5.92,$-4.32,0.0
2024-03-31,7.12,$-5.00,0.0
2023-12-31,8.1,$-8.80,0.0
2023-09-30,6.16,$-8.30,0.0
2023-06-30,8.8,$-9.10,0.0
2023-03-31,7.36,$-9.20,0.0
2022-12-31,8.1,$-10.50,0.0
2022-09-30,13.4,$-15.30,0.0
2022-06-30,16.3,$-18.90,0.0
2022-03-31,22.8,$-21.80,0.0
2021-12-31,23.3,$-23.10,0.0
2021-09-30,58.9,$-21.20,0.0
2021-06-30,91.6,$-20.40,0.0
2021-03-31,134.5,$-18.00,0.0
2020-12-31,110.9,$-17.00,0.0
2020-09-30,94.7,$-16.40,0.0
2020-06-30,116.2,$-15.60,0.0
2020-03-31,82.5,$-19.10,0.0
