Kandi Technologies PE Ratio Historical Data,Kandi Technologies PE Ratio Historical Data,Kandi Technologies PE Ratio Historical Data,Kandi Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.51,,0.0
2024-09-30,2.06,$-0.07,0.0
2024-06-30,2.19,$0.04,54.75
2023-12-31,2.8,$0.03,93.33
2023-09-30,3.46,$-0.05,0.0
2023-06-30,3.96,$-0.06,0.0
2023-03-31,2.76,$-0.14,0.0
2022-12-31,2.3,$-0.17,0.0
2022-09-30,2.11,$-0.08,0.0
2022-06-30,2.4,$-0.19,0.0
2022-03-31,3.2,$0.37,8.65
2021-12-31,3.21,$0.31,10.35
2021-09-30,4.45,$0.16,27.81
2021-06-30,5.98,$0.23,26.0
2021-03-31,6.25,$-0.23,0.0
2020-12-31,6.9,$-0.18,0.0
2020-09-30,6.2,$-0.12,0.0
2020-06-30,4.2,$0.14,30.0
2020-03-31,2.62,$-0.08,0.0
2019-12-31,4.73,$-0.14,0.0
2019-09-30,4.66,$-0.08,0.0
2019-06-30,4.93,$-0.44,0.0
2019-03-31,5.61,$-0.27,0.0
2018-12-31,3.63,$-0.11,0.0
2018-09-30,4.85,$0.09,53.89
2018-06-30,4.25,$0.26,16.35
2018-03-31,4.85,$-0.01,0.0
2017-12-31,6.8,$-0.59,0.0
2017-09-30,5.75,$-0.90,0.0
2017-06-30,4.45,$-0.95,0.0
2017-03-31,3.8,$-0.65,0.0
2016-12-31,4.9,$-0.14,0.0
2016-09-30,5.49,$0.07,78.43
2016-06-30,7.15,$0.13,55.0
2016-03-31,7.2,$0.19,37.89
2015-12-31,10.9,$0.32,34.06
2015-09-30,5.25,$0.33,15.91
2015-06-30,9.04,$0.59,15.32
2015-03-31,12.39,$0.74,16.74
2014-12-31,14.01,$0.25,56.04
2014-09-30,12.99,$0.22,59.05
2014-06-30,14.14,$-0.30,0.0
2014-03-31,16.4,$-0.60,0.0
2013-12-31,11.79,$-0.17,0.0
2013-09-30,7.78,$-0.10,0.0
2013-06-30,5.62,$0.13,43.23
2013-03-31,3.88,$0.19,20.42
2012-12-31,3.99,$0.20,19.95
2012-09-30,4.02,$0.13,30.92
2012-06-30,3.09,$0.12,25.75
2012-03-31,3.42,$0.22,15.55
2011-12-31,3.7,$0.34,10.88
2011-09-30,2.16,$0.33,6.55
2011-06-30,1.81,$0.24,7.54
2011-03-31,3.07,$0.16,19.19
2010-12-31,5.27,$-0.05,0.0
2010-09-30,4.22,0,0.0
2010-06-30,3.13,$0.11,28.45
2010-03-31,4.92,$0.07,70.28
2009-12-31,4.4,$0.05,88.0
