Innospec PE Ratio Historical Data,Innospec PE Ratio Historical Data,Innospec PE Ratio Historical Data,Innospec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.42,,69.31
2024-12-31,110.06,$1.42,77.51
2024-09-30,112.33,$5.73,19.6
2024-06-30,122.76,$5.97,20.56
2024-03-31,127.33,$5.89,21.62
2023-12-31,121.7,$5.57,21.85
2023-09-30,100.25,$5.08,19.74
2023-06-30,98.53,$5.06,19.47
2023-03-31,100.02,$5.19,19.27
2022-12-31,100.2,$5.32,18.83
2022-09-30,82.97,$5.26,15.77
2022-06-30,92.77,$4.65,19.95
2022-03-31,89.09,$4.26,20.91
2021-12-31,86.96,$3.74,23.25
2021-09-30,80.55,$3.69,21.83
2021-06-30,86.67,$3.26,26.58
2021-03-31,97.67,$0.74,131.98
2020-12-31,86.29,$1.14,75.7
2020-09-30,59.85,$1.49,40.17
2020-06-30,73.01,$2.20,33.19
2020-03-31,65.17,$4.72,13.81
2019-12-31,97.01,$4.55,21.32
2019-09-30,83.15,$4.12,20.18
2019-06-30,85.11,$3.74,22.76
2019-03-31,77.27,$3.73,20.72
2018-12-31,57.26,$3.46,16.55
2018-09-30,70.74,$2.43,29.11
2018-06-30,70.56,$2.54,27.78
2018-03-31,62.86,$2.71,23.2
2017-12-31,64.7,$2.51,25.78
2017-09-30,56.17,$3.61,15.56
2017-06-30,59.72,$3.13,19.08
2017-03-31,58.63,$3.25,18.04
2016-12-31,62.03,$3.32,18.68
2016-09-30,54.75,$3.70,14.8
2016-06-30,41.41,$4.68,8.85
2016-03-31,38.77,$4.90,7.91
2015-12-31,48.56,$4.85,10.01
2015-09-30,41.36,$4.68,8.84
2015-06-30,40.05,$4.06,9.87
2015-03-31,40.98,$3.41,12.02
2014-12-31,37.72,$3.38,11.16
2014-09-30,31.51,$3.44,9.16
2014-06-30,37.89,$3.19,11.88
2014-03-31,39.44,$3.15,12.52
2013-12-31,40.3,$3.21,12.56
2013-09-30,40.25,$2.57,15.66
2013-06-30,34.66,$2.64,13.13
2013-03-31,38.2,$2.58,14.8
2012-12-31,29.75,$2.86,10.4
2012-09-30,27.51,$3.15,8.73
2012-06-30,24.02,$1.82,13.2
2012-03-31,24.64,$2.17,11.36
2011-12-31,22.77,$2.02,11.27
2011-09-30,19.64,$2.18,9.01
2011-06-30,27.26,$4.06,6.71
2011-03-31,25.91,$3.54,7.32
2010-12-31,16.55,$2.96,5.59
2010-09-30,12.35,$1.97,6.27
2010-06-30,7.61,$0.66,11.53
2010-03-31,9.21,$0.30,30.71
2009-12-31,8.18,$0.26,31.48
