Fulgent Genetics PE Ratio Historical Data,Fulgent Genetics PE Ratio Historical Data,Fulgent Genetics PE Ratio Historical Data,Fulgent Genetics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.89,,0.0
2024-12-31,18.47,$-1.41,0.0
2024-09-30,21.73,$-5.52,0.0
2024-06-30,19.62,$-5.48,0.0
2024-03-31,21.7,$-5.57,0.0
2023-12-31,28.91,$-5.64,0.0
2023-09-30,26.74,$-2.14,0.0
2023-06-30,37.03,$-1.64,0.0
2023-03-31,31.22,$-0.89,0.0
2022-12-31,29.78,$4.56,6.53
2022-09-30,38.12,$8.70,4.38
2022-06-30,54.53,$12.57,4.34
2022-03-31,62.41,$14.79,4.22
2021-12-31,100.59,$16.38,6.14
2021-09-30,89.95,$19.20,4.68
2021-06-30,92.23,$17.25,5.35
2021-03-31,96.62,$14.80,6.53
2020-12-31,52.1,$8.19,6.36
2020-09-30,40.04,$2.02,19.82
2020-06-30,16.0,$0.12,133.33
2020-03-31,10.76,$0.00,0.0
2019-12-31,12.9,$-0.01,0.0
2019-09-30,10.39,$-0.05,0.0
2019-06-30,6.68,$-0.16,0.0
2019-03-31,5.95,$-0.24,0.0
2018-12-31,3.17,$-0.25,0.0
2018-09-30,3.93,$-0.30,0.0
2018-06-30,4.14,$-0.33,0.0
2018-03-31,4.0,$-0.27,0.0
2017-12-31,4.38,$-0.15,0.0
2017-09-30,4.79,$0.00,0.0
2017-06-30,6.39,$-0.38,0.0
