Landmark Bancorp PE Ratio Historical Data,Landmark Bancorp PE Ratio Historical Data,Landmark Bancorp PE Ratio Historical Data,Landmark Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.55,,12.8
2024-09-30,19.05,$2.15,8.85
2024-06-30,17.92,$1.97,9.12
2024-03-31,17.8,$2.02,8.8
2023-12-31,18.09,$2.12,8.54
2023-09-30,15.66,$1.87,8.38
2023-06-30,18.55,$1.80,10.3
2023-03-31,17.41,$1.75,9.96
2022-12-31,18.9,$1.70,11.1
2022-09-30,20.17,$2.04,9.89
2022-06-30,19.82,$2.39,8.3
2022-03-31,20.43,$2.72,7.52
2021-12-31,22.09,$3.11,7.1
2021-09-30,20.04,$3.54,5.66
2021-06-30,19.53,$3.70,5.28
2021-03-31,18.95,$3.73,5.09
2020-12-31,16.26,$3.37,4.83
2020-09-30,14.36,$2.95,4.86
2020-06-30,16.47,$2.46,6.69
2020-03-31,13.48,$2.02,6.69
2019-12-31,16.43,$1.82,9.04
2019-09-30,14.51,$1.26,11.51
2019-06-30,14.71,$1.33,11.1
2019-03-31,13.89,$1.37,10.16
2018-12-31,14.01,$1.36,10.32
2018-09-30,16.55,$1.78,9.32
2018-06-30,16.16,$0.81,19.91
2018-03-31,16.41,$0.73,22.34
2017-12-31,16.21,$0.75,21.58
2017-09-30,14.94,$0.69,21.64
2017-06-30,16.02,$1.14,14.0
2017-03-31,15.88,$1.13,14.04
2016-12-31,14.53,$1.15,12.62
2016-09-30,12.98,$1.19,10.95
2016-06-30,12.32,$1.63,7.54
2016-03-31,12.07,$1.71,7.07
2015-12-31,12.57,$1.81,6.96
2015-09-30,11.45,$1.41,8.11
2015-06-30,10.91,$1.36,8.04
2015-03-31,11.39,$1.27,8.97
2014-12-31,9.37,$1.08,8.66
2014-09-30,9.67,$1.18,8.19
2014-06-30,8.22,$1.03,7.99
2014-03-31,8.01,$0.91,8.79
2013-12-31,7.95,$0.87,9.17
2013-09-30,7.96,$1.07,7.4
2013-06-30,8.22,$1.06,7.73
2013-03-31,7.69,$1.15,6.71
2012-12-31,7.4,$1.21,6.13
2012-09-30,7.19,$1.15,6.25
2012-06-30,7.09,$1.21,5.88
2012-03-31,6.89,$1.00,6.91
2011-12-31,6.39,$0.86,7.47
2011-09-30,4.91,$0.77,6.39
2011-06-30,4.89,$0.70,7.02
2011-03-31,5.1,$0.36,14.23
2010-12-31,5.25,$0.39,13.38
2010-09-30,4.64,$0.45,10.25
2010-06-30,4.99,$0.26,18.96
2010-03-31,5.14,$0.66,7.76
2009-12-31,4.25,$0.63,6.71
