AG Mortgage Investment Trust PE Ratio Historical Data,AG Mortgage Investment Trust PE Ratio Historical Data,AG Mortgage Investment Trust PE Ratio Historical Data,AG Mortgage Investment Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.85,,6.38
2024-12-31,6.65,$1.23,5.41
2024-09-30,7.51,$2.28,3.29
2024-06-30,6.48,$1.55,4.18
2024-03-31,5.8,$1.74,3.34
2023-12-31,5.85,$1.57,3.72
2023-09-30,4.95,$0.55,8.99
2023-06-30,5.28,$0.55,9.6
2023-03-31,4.82,$-1.89,0.0
2022-12-31,4.31,$-3.01,0.0
2022-09-30,3.23,$-3.01,0.0
2022-06-30,5.05,$-0.81,0.0
2022-03-31,6.75,$2.16,3.12
2021-12-31,7.27,$5.63,1.29
2021-09-30,7.94,$8.78,0.9
2021-06-30,8.74,$8.23,1.06
2021-03-31,8.11,$7.29,1.11
2020-12-31,5.85,$-40.38,0.0
2020-09-30,5.42,$-41.16,0.0
2020-06-30,6.27,$-41.91,0.0
2020-03-31,5.38,$-40.26,0.0
2019-12-31,30.29,$7.20,4.21
2019-09-30,28.91,$0.15,192.64
2019-06-30,29.47,$1.68,17.54
2019-03-31,30.26,$0.78,38.78
2018-12-31,27.8,$-1.23,0.0
2018-09-30,30.78,$5.34,5.76
2018-06-30,30.95,$6.75,4.59
2018-03-31,27.88,$9.45,2.95
2017-12-31,29.69,$11.28,2.63
2017-09-30,29.32,$8.58,3.42
2017-06-30,27.08,$9.69,2.79
2017-03-31,26.06,$8.37,3.11
2016-12-31,24.06,$5.40,4.45
2016-09-30,21.53,$5.46,3.94
2016-06-30,19.16,$0.45,42.57
2016-03-31,16.79,$-1.59,0.0
2015-12-31,15.9,$0.03,528.2
2015-09-30,18.19,$1.65,11.02
2015-06-30,19.91,$4.05,4.92
2015-03-31,21.01,$8.19,2.57
2014-12-31,20.06,$10.14,1.98
2014-09-30,18.62,$10.38,1.79
2014-06-30,19.18,$8.64,2.22
2014-03-31,17.2,$-3.33,0.0
2013-12-31,14.86,$-4.80,0.0
2013-09-30,15.2,$-4.38,0.0
2013-06-30,16.61,$4.68,3.55
2013-03-31,21.67,$21.21,1.02
2012-12-31,19.37,$22.05,0.88
2012-09-30,19.25,$20.19,0.95
2012-06-30,16.61,$15.09,1.1
2012-03-31,14.76,$6.54,2.26
