Exicure PE Ratio Historical Data,Exicure PE Ratio Historical Data,Exicure PE Ratio Historical Data,Exicure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.56,,0.0
2024-12-31,13.67,$-1.42,0.0
2024-09-30,3.47,$-2.07,0.0
2024-06-30,0.32,$-4.55,0.0
2024-03-31,0.6,$-7.60,0.0
2023-12-31,0.58,$-10.60,0.0
2023-09-30,0.72,$10.55,0.07
2023-06-30,1.31,$8.40,0.16
2023-03-31,0.87,$3.50,0.25
2022-12-31,1.15,$-3.51,0.0
2022-09-30,1.57,$-46.53,0.0
2022-06-30,2.16,$-81.88,0.0
2022-03-31,5.99,$-97.60,0.0
2021-12-31,6.06,$-108.11,0.0
2021-09-30,36.0,$-108.11,0.0
2021-06-30,45.0,$-82.58,0.0
2021-03-31,65.4,$-66.07,0.0
2020-12-31,53.1,$-43.54,0.0
2020-09-30,52.5,$-40.54,0.0
2020-06-30,73.2,$-39.04,0.0
