Aware PE Ratio Historical Data,Aware PE Ratio Historical Data,Aware PE Ratio Historical Data,Aware PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.68,,0.0
2024-12-31,1.95,$-0.16,0.0
2024-09-30,1.87,$-0.36,0.0
2024-06-30,1.97,$-0.25,0.0
2024-03-31,1.87,$-0.33,0.0
2023-12-31,1.66,$-0.35,0.0
2023-09-30,1.38,$-0.23,0.0
2023-06-30,1.58,$-0.16,0.0
2023-03-31,1.7,$-0.09,0.0
2022-12-31,1.71,$-0.08,0.0
2022-09-30,1.78,$-0.06,0.0
2022-06-30,2.38,$-0.25,0.0
2022-03-31,3.0,$-0.26,0.0
2021-12-31,3.15,$-0.27,0.0
2021-09-30,4.01,$-0.29,0.0
2021-06-30,3.7,$-0.30,0.0
2021-03-31,3.65,$-0.38,0.0
2020-12-31,3.5,$-0.36,0.0
2020-09-30,2.7,$-0.63,0.0
2020-06-30,3.22,$-0.56,0.0
2020-03-31,2.85,$-0.45,0.0
2019-12-31,3.36,$-0.39,0.0
2019-09-30,2.99,$-0.01,0.0
2019-06-30,3.32,$0.06,55.33
2019-03-31,3.62,$0.09,40.22
2018-12-31,3.61,$0.06,60.17
2018-09-30,3.6,$-0.00,0.0
2018-06-30,4.05,$-0.00,0.0
2018-03-31,4.15,$0.02,207.5
2017-12-31,4.5,$0.06,75.0
2017-09-30,4.65,$0.11,42.27
2017-06-30,5.15,$0.12,42.92
2017-03-31,4.7,$0.17,27.65
2016-12-31,6.1,$0.18,33.89
2016-09-30,5.3,$0.24,22.08
2016-06-30,4.34,$0.27,16.07
2016-03-31,3.73,$0.22,16.95
2015-12-31,3.26,$0.20,16.3
2015-09-30,3.35,$0.13,25.77
2015-06-30,4.03,$0.14,28.79
2015-03-31,4.39,$0.17,25.82
2014-12-31,4.54,$0.20,22.7
2014-09-30,3.69,$0.26,14.19
2014-06-30,4.86,$0.10,48.59
2014-03-31,4.29,$0.07,61.27
2013-12-31,4.53,$0.11,41.14
2013-09-30,4.04,$0.30,13.48
2013-06-30,3.85,$0.81,4.76
2013-03-31,3.43,$3.29,1.04
2012-12-31,4.06,$3.26,1.25
2012-09-30,3.48,$3.05,1.14
2012-06-30,3.56,$2.65,1.34
2012-03-31,1.81,$0.15,12.08
2011-12-31,1.39,$0.13,10.72
2011-09-30,1.22,$0.09,13.52
2011-06-30,1.39,$0.03,46.46
2011-03-31,1.67,$0.03,55.75
2010-12-31,1.32,0,0.0
2010-09-30,1.23,$0.28,4.4
2010-06-30,1.08,$0.22,4.9
2010-03-31,1.12,$0.15,7.43
2009-12-31,1.3,$0.06,21.68
