First Bank PE Ratio Historical Data,First Bank PE Ratio Historical Data,First Bank PE Ratio Historical Data,First Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.88,,9.36
2024-09-30,15.14,$1.59,9.52
2024-06-30,12.64,$1.22,10.36
2024-03-31,13.56,$1.13,12.0
2023-12-31,14.45,$0.99,14.59
2023-09-30,10.54,$1.12,9.41
2023-06-30,10.1,$1.69,5.98
2023-03-31,9.76,$1.79,5.45
2022-12-31,13.24,$1.84,7.2
2022-09-30,13.1,$1.78,7.36
2022-06-30,13.35,$1.72,7.76
2022-03-31,13.52,$1.72,7.86
2021-12-31,13.74,$1.80,7.63
2021-09-30,13.29,$1.71,7.77
2021-06-30,12.74,$1.55,8.22
2021-03-31,11.43,$1.31,8.72
2020-12-31,8.78,$0.98,8.96
2020-09-30,5.79,$0.92,6.29
2020-06-30,6.06,$0.77,7.87
2020-03-31,6.42,$0.71,9.04
2019-12-31,10.19,$0.78,13.07
2019-09-30,9.96,$0.75,13.28
2019-06-30,10.77,$0.89,12.1
2019-03-31,10.55,$0.96,10.99
2018-12-31,11.06,$0.96,11.52
2018-09-30,11.97,$0.81,14.78
2018-06-30,12.63,$0.60,21.04
2018-03-31,13.05,$0.46,28.37
2015-12-31,5.94,$0.41,14.49
2015-09-30,5.58,$0.40,13.95
2015-06-30,5.39,$0.44,12.26
2015-03-31,5.42,$0.46,11.78
2014-12-31,5.61,$0.65,8.63
2014-09-30,5.53,$0.64,8.64
2014-06-30,5.39,$0.62,8.7
2014-03-31,5.84,$0.52,11.23
2013-12-31,5.69,$0.15,37.96
2013-09-30,5.39,$0.31,17.39
2013-06-30,4.94,$0.34,14.54
2013-03-31,4.81,$0.34,14.14
2012-12-31,4.9,$0.34,14.41
2012-09-30,4.49,$0.13,34.57
2012-06-30,4.27,0,0.0
2012-03-31,4.8,0,0.0
2011-12-31,4.27,0,0.0
2011-09-30,4.49,0,0.0
