Orion Office REIT PE Ratio Historical Data,Orion Office REIT PE Ratio Historical Data,Orion Office REIT PE Ratio Historical Data,Orion Office REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.35,,0.0
2024-12-31,3.71,$-1.84,0.0
2024-09-30,4.0,$-1.54,0.0
2024-06-30,3.59,$-1.65,0.0
2024-03-31,3.51,$-1.33,0.0
2023-12-31,5.72,$-1.02,0.0
2023-09-30,5.21,$-1.06,0.0
2023-06-30,6.61,$-1.71,0.0
2023-03-31,6.7,$-1.70,0.0
2022-12-31,8.54,$-1.71,0.0
2022-09-30,8.75,$-2.35,0.0
