Alerus Financial PE Ratio Historical Data,Alerus Financial PE Ratio Historical Data,Alerus Financial PE Ratio Historical Data,Alerus Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.58,,18.22
2024-12-31,19.24,$1.02,18.86
2024-09-30,22.88,$0.16,143.0
2024-06-30,19.43,$0.35,55.51
2024-03-31,21.4,$0.49,43.67
2023-12-31,21.75,$0.57,38.16
2023-09-30,17.52,$1.83,9.57
2023-06-30,17.15,$1.85,9.27
2023-03-31,15.15,$1.92,7.89
2022-12-31,21.8,$2.09,10.43
2022-09-30,20.47,$2.28,8.98
2022-06-30,21.88,$2.55,8.58
2022-03-31,25.2,$2.69,9.37
2021-12-31,26.55,$2.98,8.91
2021-09-30,26.95,$2.83,9.52
2021-06-30,26.01,$3.08,8.45
2021-03-31,26.57,$3.07,8.65
2020-12-31,24.31,$2.51,9.68
2020-09-30,17.31,$2.37,7.31
2020-06-30,17.34,$1.86,9.32
