Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data,Revvity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,106.98,,48.41
2024-12-31,111.61,$2.21,50.5
2024-09-30,127.68,$2.07,61.68
2024-06-30,104.73,$1.38,75.89
2024-03-31,104.8,$1.21,86.61
2023-12-31,109.03,$5.50,19.82
2023-09-30,110.34,$5.95,18.54
2023-06-30,118.33,$6.54,18.09
2023-03-31,132.68,$7.68,17.28
2022-12-31,139.54,$4.58,30.47
2022-09-30,119.68,$4.90,24.42
2022-06-30,141.38,$5.34,26.48
2022-03-31,173.35,$6.11,28.37
2021-12-31,199.71,$8.08,24.72
2021-09-30,172.05,$10.05,17.12
2021-06-30,153.24,$10.51,14.58
2021-03-31,127.25,$9.55,13.32
2020-12-31,142.27,$6.48,21.96
2020-09-30,124.36,$3.68,33.79
2020-06-30,97.13,$2.63,36.93
2020-03-31,74.48,$2.02,36.87
2019-12-31,96.0,$2.04,47.06
2019-09-30,84.14,$2.10,40.07
2019-06-30,95.1,$2.27,41.9
2019-03-31,95.05,$2.22,42.82
2018-12-31,77.42,$2.13,36.35
2018-09-30,95.79,$1.12,85.53
2018-06-30,72.05,$1.25,57.64
2018-03-31,74.43,$2.52,29.54
2017-12-31,71.81,$2.64,27.2
2017-09-30,67.67,$3.60,18.8
2017-06-30,66.79,$3.31,20.18
2017-03-31,56.84,$2.05,27.73
2016-12-31,50.99,$2.13,23.94
2016-09-30,54.79,$2.15,25.48
2016-06-30,51.12,$2.10,24.34
2016-03-31,48.17,$1.95,24.7
2015-12-31,52.09,$1.88,27.71
2015-09-30,44.62,$1.54,28.98
2015-06-30,51.04,$1.43,35.69
2015-03-31,49.52,$1.44,34.39
2014-12-31,42.28,$1.38,30.63
2014-09-30,42.08,$1.68,25.05
2014-06-30,45.13,$1.67,27.03
2014-03-31,43.35,$1.48,29.29
2013-12-31,39.6,$1.46,27.12
2013-09-30,36.19,$0.75,48.25
2013-06-30,31.09,$0.65,47.83
2013-03-31,32.12,$0.69,46.55
2012-12-31,30.24,$0.61,49.57
2012-09-30,28.01,$-0.00,0.0
2012-06-30,24.46,$0.05,489.12
2012-03-31,26.15,$0.01,2615.03
2011-12-31,18.85,$0.01,1885.14
2011-09-30,18.04,$3.22,5.6
2011-06-30,25.2,$3.02,8.35
2011-03-31,24.54,$3.26,7.53
2010-12-31,24.05,$3.27,7.36
2010-09-30,21.49,$1.15,18.69
2010-06-30,19.13,$1.16,16.49
2010-03-31,22.05,$0.85,25.94
2009-12-31,18.93,$0.73,25.94
