Ellomay Capital PE Ratio Historical Data,Ellomay Capital PE Ratio Historical Data,Ellomay Capital PE Ratio Historical Data,Ellomay Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.5,,0.0
2024-09-30,12.01,$-0.48,0.0
2024-06-30,11.58,$-0.55,0.0
2024-03-31,15.71,$-0.47,0.0
2023-12-31,14.95,$0.13,115.0
2023-09-30,15.52,$1.15,13.5
2023-06-30,18.0,$0.50,36.0
2023-03-31,12.0,$0.52,23.08
2022-12-31,14.91,$-0.03,0.0
2022-09-30,19.9,$-1.07,0.0
2022-06-30,22.39,$-1.07,0.0
2022-03-31,26.6,$-1.55,0.0
2021-12-31,28.4,$-1.48,0.0
2021-09-30,26.36,$-0.74,0.0
2021-06-30,30.8,$-0.62,0.0
2021-03-31,30.64,$-0.47,0.0
2020-12-31,33.62,$-0.41,0.0
2020-09-30,29.0,$0.96,30.21
2020-06-30,21.03,$1.15,18.29
2020-03-31,14.19,$1.12,12.67
2019-12-31,18.46,$1.18,15.64
2019-09-30,13.48,$-0.04,0.0
2019-06-30,11.19,$-0.18,0.0
2019-03-31,7.95,$0.18,44.17
2018-09-30,8.28,$0.10,82.8
2018-03-31,8.87,$0.08,110.87
2017-09-30,8.36,$0.07,119.47
2017-03-31,8.05,$-0.02,0.0
2016-12-31,8.09,$-0.06,0.0
2016-09-30,9.09,$-0.20,0.0
2016-06-30,7.55,$0.30,25.17
2016-03-31,8.32,$0.14,59.42
2015-12-31,8.4,$0.69,12.17
2015-09-30,8.15,$0.88,9.26
2015-06-30,8.08,$0.92,8.79
2015-03-31,8.29,$1.16,7.15
2014-12-31,9.46,$0.62,15.26
2014-09-30,9.64,$0.45,21.43
2014-06-30,9.48,$-0.05,0.0
2014-03-31,9.58,$-0.18,0.0
2013-12-31,9.5,0,0.0
2013-06-30,7.49,0,0.0
2012-12-31,5.83,0,0.0
2012-06-30,5.85,0,0.0
2011-12-31,5.46,0,0.0
