BigCommerce Holdings PE Ratio Historical Data,BigCommerce Holdings PE Ratio Historical Data,BigCommerce Holdings PE Ratio Historical Data,BigCommerce Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.97,,0.0
2024-12-31,6.12,$-0.35,0.0
2024-09-30,5.85,$-0.36,0.0
2024-06-30,8.06,$-0.54,0.0
2024-03-31,6.89,$-0.64,0.0
2023-12-31,9.73,$-0.86,0.0
2023-09-30,9.87,$-1.27,0.0
2023-06-30,9.95,$-1.41,0.0
2023-03-31,8.94,$-1.70,0.0
2022-12-31,8.74,$-1.91,0.0
2022-09-30,14.8,$-1.94,0.0
2022-06-30,16.2,$-1.83,0.0
2022-03-31,21.91,$-1.46,0.0
2021-12-31,35.37,$-1.07,0.0
2021-09-30,50.64,$-0.80,0.0
2021-06-30,64.92,$-0.66,0.0
