Scorpius Holdings PE Ratio Historical Data,Scorpius Holdings PE Ratio Historical Data,Scorpius Holdings PE Ratio Historical Data,Scorpius Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.17,,0.0
2024-09-30,0.72,$-60.41,0.0
2024-06-30,0.08,$-158.98,0.0
2024-03-31,0.16,$-238.00,0.0
2023-12-31,0.44,$-304.00,0.0
2023-09-30,0.53,$-398.00,0.0
2023-06-30,0.67,$-400.00,0.0
2023-03-31,0.87,$-374.00,0.0
2022-12-31,0.81,$-340.00,0.0
2022-09-30,1.73,$-354.00,0.0
2022-06-30,2.55,$-312.00,0.0
2022-03-31,3.06,$-284.00,0.0
2021-12-31,3.04,$-282.00,0.0
2021-09-30,5.95,$-174.00,0.0
2021-06-30,6.73,$-197.98,0.0
2021-03-31,7.28,$-215.95,0.0
2020-12-31,5.36,$-307.91,0.0
2020-09-30,8.68,$-307.91,0.0
2020-06-30,5.9,$-475.86,0.0
2020-03-31,3.99,$-601.82,0.0
2019-12-31,3.33,$-685.79,0.0
2019-09-30,3.4,$-895.73,0.0
2019-06-30,4.8,$-867.74,0.0
2019-03-31,8.89,"$-1,049.69",0.0
2018-12-31,6.86,"$-1,861.44",0.0
2018-09-30,14.0,"$-1,651.51",0.0
2018-06-30,15.05,"$-2,267.32",0.0
2018-03-31,11.48,"$-3,149.06",0.0
2017-12-31,26.8,"$-3,778.87",0.0
2017-09-30,45.72,"$-5,458.36",0.0
2017-06-30,42.63,"$-5,738.28",0.0
2017-03-31,62.3,"$-6,857.94",0.0
2016-12-31,59.85,"$-12,176.35",0.0
2016-09-30,95.9,"$-21,413.57",0.0
2016-06-30,49.7,"$-28,971.30",0.0
2016-03-31,48.55,"$-34,429.66",0.0
2015-12-31,170.8,"$-35,409.37",0.0
2015-09-30,323.4,"$-32,330.30",0.0
2015-06-30,420.0,"$-30,090.97",0.0
2015-03-31,445.2,"$-28,411.47",0.0
2014-12-31,321.3,"$-25,472.36",0.0
2014-09-30,445.94,"$-17,634.71",0.0
2014-06-30,388.5,"$-17,914.62",0.0
