NuCana PE Ratio Historical Data,NuCana PE Ratio Historical Data,NuCana PE Ratio Historical Data,NuCana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.81,,0.0
2024-09-30,2.3,$-10.48,0.0
2024-06-30,2.55,$-12.20,0.0
2024-03-31,6.5,$-11.66,0.0
2023-12-31,7.4,$-16.00,0.0
2023-09-30,15.25,$-20.25,0.0
2023-06-30,19.75,$-19.00,0.0
2023-03-31,24.0,$-18.00,0.0
2022-12-31,16.5,$-18.75,0.0
2022-09-30,26.13,$-19.00,0.0
2022-06-30,18.13,$-21.50,0.0
2022-03-31,24.98,$-25.25,0.0
2021-12-31,59.5,$-26.50,0.0
2021-09-30,64.5,$-25.75,0.0
2021-06-30,69.25,$-28.25,0.0
2021-03-31,124.75,$-28.25,0.0
2020-12-31,112.25,$-25.50,0.0
2020-09-30,129.25,$-25.25,0.0
2020-06-30,135.25,$-21.25,0.0
2020-03-31,145.75,$-19.75,0.0
2019-12-31,152.5,$-21.50,0.0
2019-09-30,181.0,$-17.25,0.0
2019-06-30,259.5,$-16.00,0.0
2019-03-31,425.0,$-12.75,0.0
2018-12-31,362.5,$-14.25,0.0
2018-09-30,623.0,$-10.75,0.0
