Northwest Pipe PE Ratio Historical Data,Northwest Pipe PE Ratio Historical Data,Northwest Pipe PE Ratio Historical Data,Northwest Pipe PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.48,,12.79
2024-12-31,48.26,$3.40,14.19
2024-09-30,45.13,$2.94,15.35
2024-06-30,33.97,$2.50,13.59
2024-03-31,34.68,$2.38,14.57
2023-12-31,30.26,$2.09,14.48
2023-09-30,30.17,$2.34,12.89
2023-06-30,30.24,$2.75,11.0
2023-03-31,31.23,$2.98,10.48
2022-12-31,33.7,$3.11,10.84
2022-09-30,28.1,$2.55,11.02
2022-06-30,29.94,$2.06,14.53
2022-03-31,25.45,$1.30,19.58
2021-12-31,31.8,$1.16,27.41
2021-09-30,23.7,$1.46,16.23
2021-06-30,28.25,$1.69,16.72
2021-03-31,33.42,$2.09,15.99
2020-12-31,28.3,$1.93,14.66
2020-09-30,26.46,$2.62,10.1
2020-06-30,25.07,$2.99,8.38
2020-03-31,22.25,$2.69,8.27
2019-12-31,33.31,$2.85,11.69
2019-09-30,28.15,$1.65,17.06
2019-06-30,25.78,$3.41,7.56
2019-03-31,24.0,$2.51,9.56
2018-12-31,23.29,$2.09,11.14
2018-09-30,19.75,$1.84,10.73
2018-06-30,19.37,$-1.23,0.0
2018-03-31,17.3,$-0.86,0.0
2017-12-31,19.14,$-1.06,0.0
2017-09-30,19.02,$-0.23,0.0
2017-06-30,16.26,$0.06,271.0
2017-03-31,15.71,$-0.37,0.0
2016-12-31,17.22,$-0.97,0.0
2016-09-30,11.81,$-3.00,0.0
2016-06-30,10.78,$-3.24,0.0
2016-03-31,9.22,$-3.85,0.0
2015-12-31,11.19,$-3.07,0.0
2015-09-30,13.06,$-3.11,0.0
2015-06-30,20.37,$-2.43,0.0
2015-03-31,22.95,$-0.84,0.0
2014-12-31,30.12,$-1.66,0.0
2014-09-30,34.1,$-1.99,0.0
2014-06-30,40.33,$-2.40,0.0
2014-03-31,36.16,$-2.14,0.0
2013-12-31,37.76,$-0.10,0.0
2013-09-30,32.88,$2.18,15.08
2013-06-30,27.9,$2.43,11.48
2013-03-31,27.98,$2.22,12.6
2012-12-31,23.86,$1.72,13.87
2012-09-30,24.65,$1.39,17.73
2012-06-30,24.26,$1.03,23.55
2012-03-31,21.24,$1.22,17.41
2011-12-31,22.86,$1.10,20.78
2011-09-30,20.29,$0.75,27.05
2011-06-30,26.06,$0.82,31.78
2011-03-31,22.93,$0.25,91.72
2010-12-31,24.03,$-0.13,0.0
2010-09-30,17.5,$0.07,250.0
2010-06-30,19.0,0,0.0
2010-03-31,21.85,$0.26,84.04
2009-12-31,26.86,$0.54,49.74
