Ambow Education Holding PE Ratio Historical Data,Ambow Education Holding PE Ratio Historical Data,Ambow Education Holding PE Ratio Historical Data,Ambow Education Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.01,,0.0
2024-06-30,1.2,$-4.96,0.0
2023-12-31,1.38,$-3.60,0.0
2023-06-30,2.23,$-4.60,0.0
2022-06-30,3.67,$-3.40,0.0
2021-06-30,24.05,$-4.60,0.0
2021-03-31,21.9,$-5.60,0.0
2020-12-31,21.7,$-4.20,0.0
2020-09-30,50.5,$-5.80,0.0
2020-06-30,17.8,$-4.60,0.0
2020-03-31,19.0,$-4.40,0.0
2019-12-31,19.8,$-6.40,0.0
2019-09-30,15.8,$-3.60,0.0
2019-06-30,37.3,$0.20,186.5
2019-03-31,62.5,$2.00,31.25
