LightInTheBox Holding PE Ratio Historical Data,LightInTheBox Holding PE Ratio Historical Data,LightInTheBox Holding PE Ratio Historical Data,LightInTheBox Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.02,,0.0
2024-09-30,2.89,$-0.35,0.0
2024-06-30,5.43,$-0.36,0.0
2024-03-31,4.9,$-0.48,0.0
2023-12-31,6.42,$-0.48,0.0
2023-09-30,7.14,$-2.76,0.0
2023-06-30,7.08,$-2.76,0.0
2023-03-31,9.66,$-2.82,0.0
2022-12-31,7.38,$-2.94,0.0
2022-09-30,6.42,0,0.0
2022-06-30,5.76,$-0.30,0.0
2022-03-31,6.3,$0.30,21.0
2021-12-31,6.06,$0.66,9.18
2021-09-30,8.28,$0.06,138.0
2021-06-30,11.88,$0.78,15.23
2021-03-31,16.44,$0.78,21.08
2020-12-31,15.24,$0.78,19.54
2020-09-30,11.58,$0.78,14.85
2020-06-30,5.27,$0.36,14.64
2020-03-31,4.21,$-0.78,0.0
2019-12-31,6.3,$-2.10,0.0
2019-09-30,7.2,$-4.08,0.0
2019-06-30,8.88,$-5.70,0.0
2019-03-31,8.1,$-5.88,0.0
2018-12-31,7.32,$-5.34,0.0
2018-09-30,4.98,$-3.48,0.0
2018-06-30,12.84,$-2.04,0.0
2018-03-31,13.39,$-1.38,0.0
2017-12-31,13.8,$-0.84,0.0
2017-09-30,14.52,$-0.78,0.0
2017-06-30,17.4,$-0.78,0.0
2017-03-31,16.86,$-0.78,0.0
2016-12-31,17.82,$-0.84,0.0
2016-09-30,17.1,$-1.02,0.0
2016-06-30,20.4,$-1.92,0.0
2016-03-31,14.4,$-2.46,0.0
2015-12-31,17.76,$-4.92,0.0
2015-09-30,16.68,$-5.16,0.0
2015-06-30,27.6,$-4.86,0.0
2015-03-31,30.24,$-4.80,0.0
2014-12-31,37.74,$-3.24,0.0
2014-09-30,37.5,$-3.24,0.0
2014-06-30,38.16,$-2.76,0.0
2014-03-31,40.2,$-2.10,0.0
