Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,190.54,,91.52
2025-01-31,221.27,$2.08,106.28
2024-10-31,169.77,$1.23,138.47
2024-07-31,160.17,$1.15,139.16
2024-04-30,129.19,$2.33,55.57
2024-01-31,116.76,$2.70,43.28
2023-10-31,82.87,$3.29,25.16
2023-07-31,88.03,$3.25,27.07
2023-04-30,61.04,$3.19,19.12
2023-01-31,56.59,$2.97,19.05
2022-10-31,45.1,$2.65,17.02
2022-07-31,50.93,$2.31,22.03
2022-04-30,52.3,$2.02,25.93
2022-01-31,54.9,$1.75,31.3
2021-10-31,49.51,$1.50,33.0
2021-07-31,44.87,$1.35,33.29
2021-04-30,41.85,$1.07,39.0
2021-01-31,41.01,$0.86,47.69
2020-10-31,31.57,$0.63,50.19
2020-07-31,28.34,$0.53,53.17
2020-04-30,24.04,$0.56,43.01
2020-01-31,26.56,$0.61,43.83
2019-10-31,25.23,$0.64,39.18
2019-07-31,24.76,$0.71,34.82
2019-04-30,26.92,$0.81,33.19
2019-01-31,22.48,$1.48,15.19
2018-10-31,18.53,$2.83,6.55
2018-07-31,18.25,$2.72,6.72
2018-04-30,18.76,$2.56,7.33
2018-01-31,20.14,$1.83,11.0
2017-10-31,21.28,$0.43,49.96
2017-07-31,19.81,$0.12,169.33
2017-04-30,17.66,$-0.07,0.0
2017-01-31,15.88,$-0.48,0.0
2016-10-31,13.48,$-0.41,0.0
2016-07-31,12.78,$-0.10,0.0
2016-04-30,11.47,$0.06,187.98
2016-01-31,10.49,$0.48,21.66
2015-10-31,9.63,$0.48,20.05
2015-07-31,9.75,$0.38,25.6
2015-04-30,9.08,$0.23,39.15
2015-01-31,7.97,$0.17,46.34
2014-10-31,6.66,$0.10,67.26
2014-07-31,5.34,$0.12,45.62
2014-04-30,4.87,$0.24,20.44
2014-01-31,4.17,$0.22,18.78
2013-10-31,3.45,$0.22,15.75
2013-07-31,2.77,$0.22,12.88
2013-04-30,2.4,$0.22,11.06
2013-01-31,2.67,$0.23,11.82
2012-10-31,2.45,$0.23,10.86
2012-07-31,2.73,$0.22,12.24
2012-04-30,2.54,$0.22,11.44
2012-01-31,2.49,$0.22,11.22
2011-10-31,2.47,$0.22,11.22
2011-07-31,2.45,$0.23,10.89
2011-04-30,2.43,$0.22,11.15
2011-01-31,2.08,$0.20,10.35
2010-10-31,1.78,$0.17,10.56
2010-07-31,1.57,$0.09,16.73
