SJW Group PE Ratio Historical Data,SJW Group PE Ratio Historical Data,SJW Group PE Ratio Historical Data,SJW Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.14,,18.29
2024-12-31,49.22,$2.85,17.27
2024-09-30,57.69,$2.76,20.9
2024-06-30,53.46,$2.72,19.65
2024-03-31,55.4,$2.66,20.83
2023-12-31,63.55,$2.67,23.8
2023-09-30,58.11,$3.17,18.33
2023-06-30,67.41,$2.86,23.57
2023-03-31,72.84,$2.66,27.38
2022-12-31,77.31,$2.41,32.08
2022-09-30,54.57,$1.92,28.42
2022-06-30,58.8,$1.74,33.79
2022-03-31,65.15,$2.05,31.78
2021-12-31,68.17,$2.02,33.75
2021-09-30,61.23,$1.88,32.57
2021-06-30,58.39,$2.15,27.16
2021-03-31,57.79,$2.15,26.88
2020-12-31,63.33,$2.14,29.59
2020-09-30,55.28,$1.49,37.1
2020-06-30,56.16,$0.91,61.71
2020-03-31,51.95,$0.69,75.29
2019-12-31,63.62,$0.82,77.59
2019-09-30,60.88,$1.39,43.8
2019-06-30,53.92,$1.82,29.63
2019-03-31,54.78,$1.97,27.81
2018-12-31,49.11,$1.82,26.98
2018-09-30,53.74,$2.28,23.57
2018-06-30,57.94,$2.46,23.55
2018-03-31,45.91,$2.74,16.76
2017-12-31,55.3,$2.86,19.34
2017-09-30,48.74,$2.69,18.12
2017-06-30,42.19,$2.67,15.8
2017-03-31,41.18,$2.59,15.9
2016-12-31,47.6,$2.57,18.52
2016-09-30,36.98,$2.69,13.75
2016-06-30,33.17,$2.23,14.88
2016-03-31,30.44,$1.77,17.2
2015-12-31,24.67,$1.84,13.41
2015-09-30,25.43,$1.33,19.12
2015-06-30,25.21,$2.75,9.17
2015-03-31,25.22,$2.73,9.24
2014-12-31,26.06,$2.54,10.26
2014-09-30,21.67,$2.49,8.7
2014-06-30,21.78,$1.05,20.74
2014-03-31,23.5,$1.08,21.76
2013-12-31,23.53,$1.11,21.2
2013-09-30,21.99,$1.19,18.48
2013-06-30,20.43,$1.28,15.96
2013-03-31,20.51,$1.19,17.24
2012-12-31,20.45,$1.18,17.33
2012-09-30,19.36,$1.22,15.87
2012-06-30,18.18,$1.13,16.09
2012-03-31,18.13,$1.14,15.9
2011-12-31,17.64,$1.11,15.89
2011-09-30,16.13,$1.19,13.55
2011-06-30,17.82,$1.32,13.5
2011-03-31,16.9,$1.27,13.3
2010-12-31,19.19,$1.29,14.87
2010-09-30,17.73,$1.00,17.73
2010-06-30,16.76,$0.86,19.48
2010-03-31,18.05,$0.85,21.23
2009-12-31,15.9,$0.81,19.63
