Westwood Holdings Group Inc PE Ratio Historical Data,Westwood Holdings Group Inc PE Ratio Historical Data,Westwood Holdings Group Inc PE Ratio Historical Data,Westwood Holdings Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.05,,64.2
2024-12-31,14.51,$0.25,58.04
2024-09-30,14.06,$0.33,42.62
2024-06-30,11.93,$0.73,16.34
2024-03-31,12.07,$1.36,8.87
2023-12-31,12.16,$1.18,10.31
2023-09-30,9.69,$0.46,21.06
2023-06-30,11.66,$-0.10,0.0
2023-03-31,10.42,$-0.51,0.0
2022-12-31,10.23,$-0.59,0.0
2022-09-30,8.74,$0.17,51.41
2022-06-30,12.38,$0.56,22.1
2022-03-31,13.61,$0.73,18.65
2021-12-31,14.92,$1.24,12.03
2021-09-30,16.58,$1.24,13.37
2021-06-30,17.05,$-0.31,0.0
2021-03-31,11.27,$-0.76,0.0
2020-12-31,11.24,$-1.15,0.0
2020-09-30,8.64,$-1.21,0.0
2020-06-30,12.21,$0.23,53.08
2020-03-31,14.19,$0.78,18.2
2019-12-31,22.52,$0.70,32.17
2019-09-30,20.54,$1.04,19.75
2019-06-30,25.46,$1.53,16.64
2019-03-31,24.9,$2.25,11.07
2018-12-31,23.55,$3.13,7.52
2018-09-30,35.16,$2.83,12.42
2018-06-30,39.98,$2.70,14.81
2018-03-31,37.5,$2.59,14.48
2017-12-31,43.42,$2.39,18.17
2017-09-30,43.68,$2.97,14.71
2017-06-30,36.42,$3.20,11.38
2017-03-31,33.93,$3.06,11.09
2016-12-31,37.68,$2.77,13.6
2016-09-30,33.03,$2.43,13.59
2016-06-30,31.86,$2.58,12.35
2016-03-31,35.72,$3.12,11.45
2015-12-31,31.41,$3.39,9.26
2015-09-30,32.41,$3.58,9.05
2015-06-30,35.18,$3.63,9.69
2015-03-31,35.3,$3.54,9.97
2014-12-31,35.89,$3.58,10.03
2014-09-30,32.64,$3.57,9.14
2014-06-30,34.31,$3.22,10.66
2014-03-31,35.55,$2.73,13.02
2013-12-31,34.85,$2.36,14.77
2013-09-30,26.83,$2.09,12.84
2013-06-30,23.78,$1.86,12.78
2013-03-31,24.39,$1.51,16.15
2012-12-31,22.24,$1.65,13.48
2012-09-30,21.0,$1.73,12.14
2012-06-30,19.86,$1.85,10.74
2012-03-31,20.43,$2.07,9.87
2011-12-31,19.1,$2.05,9.32
2011-09-30,17.87,$1.94,9.21
2011-06-30,19.49,$1.86,10.48
2011-03-31,20.39,$1.70,11.99
2010-12-31,19.86,$1.63,12.19
2010-09-30,16.66,$1.58,10.55
2010-06-30,17.15,$1.55,11.06
2010-03-31,17.79,$1.44,12.36
2009-12-31,17.28,$1.20,14.4
