Healthcare Realty Trust PE Ratio Historical Data,Healthcare Realty Trust PE Ratio Historical Data,Healthcare Realty Trust PE Ratio Historical Data,Healthcare Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.74,,0.0
2024-12-31,16.95,$-1.78,0.0
2024-09-30,18.15,$-1.58,0.0
2024-06-30,16.48,$-1.50,0.0
2024-03-31,14.15,$-1.33,0.0
2023-12-31,16.84,$-0.74,0.0
2023-09-30,14.93,$-0.72,0.0
2023-06-30,18.43,$-0.46,0.0
2023-03-31,18.61,$-0.20,0.0
2022-12-31,18.25,$0.11,165.94
2022-09-30,19.75,$0.27,73.15
2022-06-30,22.0,$0.29,75.87
2022-03-31,24.71,$0.42,58.82
2021-12-31,26.07,$0.44,59.25
2021-09-30,23.16,$0.50,46.32
2021-06-30,20.85,$0.37,56.35
2021-03-31,21.54,$0.26,82.83
2020-12-31,21.24,$0.24,88.52
2020-09-30,19.82,$0.15,132.11
2020-06-30,19.98,$0.14,142.71
2020-03-31,18.03,$0.16,112.7
2019-12-31,22.49,$0.14,160.63
2019-09-30,21.82,$0.17,128.35
2019-06-30,20.37,$1.03,19.78
2019-03-31,21.23,$1.02,20.82
2018-12-31,18.8,$1.01,18.61
2018-09-30,19.81,$1.14,17.37
2018-06-30,20.02,$0.39,51.34
2018-03-31,19.41,$0.29,66.94
2017-12-31,22.05,$0.33,66.81
2017-09-30,21.65,$0.24,90.21
2017-06-30,22.37,$0.21,106.54
2017-03-31,22.41,$0.33,67.91
2016-12-31,20.74,$0.32,64.8
2016-09-30,23.0,$0.29,79.3
2016-06-30,22.6,$0.30,75.32
2016-03-31,20.56,$0.28,73.41
2015-12-31,18.65,$0.25,74.61
2015-09-30,16.77,$0.34,49.32
2015-06-30,16.19,$0.43,37.65
2015-03-31,18.83,$0.38,49.56
2014-12-31,18.21,$0.37,49.22
2014-09-30,7.84,$0.24,32.67
2014-06-30,8.14,$0.14,58.13
2014-03-31,7.7,$0.24,32.08
2013-12-31,6.65,$0.22,30.23
2013-09-30,7.01,$0.16,43.81
2013-06-30,7.38,$0.14,52.74
2013-03-31,7.63,$-0.14,0.0
2012-12-31,6.35,$-0.16,0.0
2012-09-30,6.18,$-0.12,0.0
2012-06-30,6.18,$-0.14,0.0
2012-03-31,14.08,$0.04,351.98
2011-12-31,11.73,$0.06,195.46
2011-09-30,10.45,$-0.06,0.0
2011-06-30,12.57,$-0.06,0.0
2011-03-31,13.64,$-0.08,0.0
2010-12-31,12.54,$-0.10,0.0
2010-09-30,13.66,0,0.0
2010-06-30,12.67,0,0.0
2010-03-31,13.25,0,0.0
2009-12-31,12.03,0,0.0
