Kartoon Studios PE Ratio Historical Data,Kartoon Studios PE Ratio Historical Data,Kartoon Studios PE Ratio Historical Data,Kartoon Studios PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.61,,0.0
2024-09-30,0.87,$-1.02,0.0
2024-06-30,1.03,$-1.41,0.0
2024-03-31,1.37,$-1.73,0.0
2023-12-31,1.39,$-2.30,0.0
2023-09-30,1.4,$-1.68,0.0
2023-06-30,1.91,$-1.64,0.0
2023-03-31,2.73,$-1.57,0.0
2022-12-31,4.65,$-0.90,0.0
2022-09-30,6.01,$-2.00,0.0
2022-06-30,7.57,$-1.90,0.0
2022-03-31,10.2,$-1.70,0.0
2021-12-31,10.5,$-4.30,0.0
2021-09-30,13.6,$-3.20,0.0
2021-06-30,18.4,$-3.00,0.0
2021-03-31,19.4,$-51.60,0.0
2020-12-31,13.8,$-51.20,0.0
2020-09-30,11.9,$-51.20,0.0
2020-06-30,22.5,$-54.90,0.0
2020-03-31,2.82,$-7.70,0.0
2019-12-31,2.73,$-10.80,0.0
2019-09-30,6.42,$-10.80,0.0
2019-06-30,13.9,$-9.40,0.0
2019-03-31,19.7,$-10.40,0.0
2018-12-31,21.5,$-6.80,0.0
2018-09-30,20.5,$-6.80,0.0
2018-06-30,23.8,$-6.40,0.0
2018-03-31,28.0,$-6.00,0.0
2017-12-31,27.2,$-6.80,0.0
2017-09-30,41.2,$-11.50,0.0
