Malibu Boats PE Ratio Historical Data,Malibu Boats PE Ratio Historical Data,Malibu Boats PE Ratio Historical Data,Malibu Boats PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.83,,0.0
2024-12-31,37.59,$-4.35,0.0
2024-09-30,38.81,$-3.98,0.0
2024-06-30,35.04,$-2.75,0.0
2024-03-31,43.28,$-2.67,0.0
2023-12-31,54.82,$3.12,17.57
2023-09-30,49.02,$4.35,11.27
2023-06-30,58.66,$5.06,11.59
2023-03-31,56.45,$8.23,6.86
2022-12-31,53.3,$8.23,6.48
2022-09-30,47.99,$7.92,6.06
2022-06-30,52.71,$7.51,7.02
2022-03-31,58.01,$6.80,8.53
2021-12-31,68.73,$5.90,11.65
2021-09-30,69.98,$5.50,12.72
2021-06-30,73.33,$5.23,14.02
2021-03-31,79.68,$3.92,20.33
2020-12-31,62.44,$3.40,18.36
2020-09-30,49.56,$3.20,15.49
2020-06-30,51.95,$2.95,17.61
2020-03-31,28.79,$3.58,8.04
2019-12-31,40.95,$3.50,11.7
2019-09-30,30.68,$3.37,9.1
2019-06-30,38.85,$3.15,12.33
2019-03-31,39.58,$2.83,13.99
2018-12-31,34.8,$2.58,13.49
2018-09-30,54.72,$1.59,34.42
2018-06-30,41.94,$1.36,30.84
2018-03-31,33.21,$1.29,25.74
2017-12-31,29.73,$0.98,30.34
2017-09-30,31.64,$1.68,18.83
2017-06-30,25.87,$1.58,16.37
2017-03-31,22.45,$1.25,17.96
2016-12-31,19.08,$1.12,17.04
2016-09-30,14.9,$1.01,14.75
2016-06-30,12.08,$1.00,12.08
2016-03-31,16.4,$1.15,14.26
2015-12-31,16.37,$1.11,14.75
2015-09-30,13.98,$1.04,13.44
2015-06-30,20.09,$0.93,21.6
2015-03-31,23.35,$0.74,31.55
2014-12-31,19.27,$0.42,45.88
