Scorpio Tankers PE Ratio Historical Data,Scorpio Tankers PE Ratio Historical Data,Scorpio Tankers PE Ratio Historical Data,Scorpio Tankers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.18,,3.02
2024-09-30,70.76,$13.95,5.07
2024-06-30,80.25,$12.72,6.31
2024-03-31,70.26,$10.78,6.52
2023-12-31,59.36,$9.94,5.97
2023-09-30,52.5,$11.97,4.39
2023-06-30,45.59,$14.35,3.18
2023-03-31,54.05,$15.01,3.6
2022-12-31,51.43,$10.22,5.03
2022-09-30,40.13,$5.02,7.99
2022-06-30,32.86,$-0.63,0.0
2022-03-31,20.29,$-4.66,0.0
2021-12-31,12.09,$-4.29,0.0
2021-09-30,17.36,$-4.87,0.0
2021-06-30,20.52,$-3.90,0.0
2021-03-31,17.1,$-0.53,0.0
2020-12-31,10.3,$1.44,7.15
2020-09-30,10.1,$3.06,3.3
2020-06-30,11.6,$2.50,4.64
2020-03-31,17.21,$-0.52,0.0
2019-12-31,35.24,$-1.04,0.0
2019-09-30,26.58,$-1.63,0.0
2019-06-30,26.28,$-3.00,0.0
2019-03-31,17.6,$-4.58,0.0
2018-12-31,15.61,$-5.88,0.0
2018-09-30,17.83,$-7.00,0.0
2018-06-30,24.79,$-6.30,0.0
2018-03-31,17.24,$-7.90,0.0
2017-12-31,26.71,$-7.60,0.0
2017-09-30,29.94,$-7.90,0.0
2017-06-30,34.56,$-8.00,0.0
2017-03-31,38.56,$-4.00,0.0
2016-12-31,39.25,$-1.60,0.0
2016-09-30,38.99,$2.20,17.72
2016-06-30,34.47,$8.30,4.15
2016-03-31,46.85,$11.30,4.15
2015-12-31,63.01,$12.10,5.21
2015-09-30,71.04,$10.10,7.03
2015-06-30,77.23,$5.60,13.79
2015-03-31,71.14,$2.40,29.64
2014-12-31,64.72,$2.70,23.97
2014-09-30,61.03,$3.00,20.34
2014-06-30,73.92,$3.10,23.84
2014-03-31,71.74,$3.40,21.1
2013-12-31,84.16,$1.40,60.11
2013-09-30,69.25,$-0.00,0.0
2013-06-30,63.46,$-3.00,0.0
2013-03-31,62.82,$-4.30,0.0
2012-12-31,50.07,$-6.50,0.0
2012-09-30,42.26,$-27.50,0.0
2012-06-30,45.0,$-26.70,0.0
2012-03-31,49.72,$-26.70,0.0
2011-12-31,34.44,$-25.90,0.0
2011-09-30,37.19,$-5.10,0.0
2011-06-30,70.36,$-3.80,0.0
2011-03-31,72.68,$-2.60,0.0
2010-12-31,71.2,$0.10,712.03
