BioNTech SE PE Ratio Historical Data,BioNTech SE PE Ratio Historical Data,BioNTech SE PE Ratio Historical Data,BioNTech SE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,96.23,,0.0
2024-12-31,113.95,$-4.15,0.0
2024-09-30,118.77,$-2.10,0.0
2024-06-30,80.36,$-2.26,0.0
2024-03-31,92.25,$0.50,184.5
2023-12-31,105.54,$4.12,25.62
2023-09-30,108.64,$11.53,9.42
2023-06-30,107.93,$17.84,6.05
2023-03-31,124.57,$26.01,4.79
2022-12-31,150.22,$39.79,3.78
2022-09-30,134.88,$44.26,3.05
2022-06-30,149.1,$51.78,2.88
2022-03-31,168.32,$57.45,2.93
2021-12-31,254.41,$46.76,5.44
2021-09-30,269.4,$34.70,7.76
2021-06-30,220.93,$19.11,11.56
2021-03-31,107.75,$5.71,18.87
2020-12-31,80.45,$0.16,502.8
