Erie Indemnity PE Ratio Historical Data,Erie Indemnity PE Ratio Historical Data,Erie Indemnity PE Ratio Historical Data,Erie Indemnity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,409.9,,35.71
2024-12-31,412.23,$11.48,35.91
2024-09-30,538.5,$10.69,50.37
2024-06-30,360.23,$10.14,35.53
2024-03-31,397.89,$9.26,42.97
2023-12-31,330.57,$8.53,38.75
2023-09-30,288.84,$7.66,37.71
2023-06-30,205.28,$6.76,30.37
2023-03-31,225.27,$6.04,37.3
2022-12-31,240.68,$5.70,42.22
2022-09-30,214.11,$5.50,38.93
2022-06-30,184.05,$5.61,32.81
2022-03-31,167.63,$5.59,29.99
2021-12-31,182.3,$5.69,32.04
2021-09-30,167.87,$5.84,28.74
2021-06-30,180.94,$5.83,31.04
2021-03-31,205.77,$5.89,34.94
2020-12-31,227.79,$5.61,40.6
2020-09-30,192.6,$5.55,34.7
2020-06-30,174.88,$5.64,31.01
2020-03-31,134.3,$5.75,23.36
2019-12-31,149.53,$6.06,24.68
2019-09-30,166.41,$6.11,27.24
2019-06-30,227.15,$5.85,38.83
2019-03-31,158.66,$5.69,27.88
2018-12-31,117.69,$5.51,21.36
2018-09-30,111.83,$4.93,22.68
2018-06-30,102.09,$4.51,22.64
2018-03-31,101.68,$4.11,24.74
2017-12-31,104.58,$3.76,27.81
2017-09-30,102.81,$4.02,25.57
2017-06-30,105.99,$3.99,26.56
2017-03-31,103.31,$4.04,25.57
2016-12-31,94.03,$4.00,23.51
2016-09-30,84.73,$3.70,22.9
2016-06-30,81.85,$3.55,23.06
2016-03-31,76.02,$3.45,22.04
2015-12-31,78.19,$3.32,23.55
2015-09-30,66.73,$3.23,20.66
2015-06-30,65.5,$3.19,20.53
2015-03-31,69.1,$3.06,22.58
2014-12-31,71.33,$3.20,22.29
2014-09-30,59.57,$3.39,17.57
2014-06-30,58.16,$3.36,17.31
2014-03-31,53.43,$3.26,16.39
2013-12-31,55.52,$3.07,18.08
2013-09-30,54.57,$2.96,18.44
2013-06-30,59.57,$3.05,19.53
2013-03-31,56.01,$3.01,18.61
2012-12-31,51.33,$2.99,17.17
2012-09-30,45.53,$2.92,15.59
2012-06-30,50.34,$2.83,17.79
2012-03-31,54.4,$2.97,18.32
2011-12-31,54.17,$3.08,17.59
2011-09-30,48.98,$2.81,17.43
2011-06-30,48.31,$2.88,16.77
2011-03-31,48.23,$2.80,17.23
2010-12-31,44.06,$2.84,15.52
2010-09-30,37.41,$3.05,12.26
2010-06-30,30.03,$2.80,10.73
2010-03-31,28.15,$2.51,11.22
2009-12-31,25.47,$1.88,13.55
