Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.45,,14.37
2024-09-30,65.6,$5.67,11.57
2024-06-30,65.43,$5.88,11.13
2024-03-31,74.24,$5.97,12.44
2023-12-31,79.44,$5.97,13.31
2023-09-30,81.58,$5.64,14.47
2023-06-30,79.15,$5.11,15.49
2023-03-31,81.42,$4.52,18.01
2022-12-31,55.09,$4.06,13.57
2022-09-30,44.67,$3.89,11.48
2022-06-30,45.15,$3.57,12.65
2022-03-31,50.93,$3.26,15.62
2021-12-31,42.39,$2.89,14.67
2021-09-30,35.64,$2.09,17.05
2021-06-30,39.72,$1.34,29.64
2021-03-31,38.44,$0.54,71.18
2020-12-31,39.32,$0.97,40.53
2020-09-30,27.97,$1.56,17.93
2020-06-30,28.26,$2.39,11.83
2020-03-31,20.5,$3.45,5.94
2019-12-31,45.6,$3.40,13.41
2019-09-30,36.18,$3.42,10.58
2019-06-30,37.19,$3.31,11.24
2019-03-31,33.16,$3.15,10.53
2018-12-31,27.96,$3.03,9.23
2018-09-30,41.88,$2.83,14.8
2018-06-30,30.63,$2.71,11.3
2018-03-31,27.82,$2.54,10.95
2017-12-31,29.29,$2.32,12.62
2017-09-30,31.34,$2.24,13.99
2017-06-30,34.02,$2.08,16.35
2017-03-31,29.34,$2.01,14.6
2016-12-31,23.47,$1.98,11.86
2016-09-30,31.98,$1.88,17.01
2016-06-30,32.24,$1.74,18.53
2016-03-31,29.9,$1.60,18.69
2015-12-31,25.21,$1.52,16.59
2015-09-30,26.01,$1.44,18.06
2015-06-30,25.74,$1.49,17.27
2015-03-31,25.51,$1.46,17.47
2014-12-31,23.83,$1.52,15.68
2014-09-30,23.16,$1.84,12.59
2014-06-30,21.16,$1.78,11.89
2014-03-31,18.98,$1.78,10.67
2013-12-31,17.51,$1.75,10.01
2013-09-30,16.88,$1.45,11.64
2013-06-30,16.41,$1.44,11.4
2013-03-31,20.06,$1.35,14.86
2012-12-31,13.06,$1.27,10.29
2012-09-30,10.78,$1.23,8.77
2012-06-30,9.85,$1.10,8.96
2012-03-31,9.1,$1.08,8.43
2011-12-31,7.04,$1.12,6.28
2011-09-30,7.22,$1.35,5.35
2011-06-30,9.55,$1.32,7.23
2011-03-31,8.2,$1.23,6.67
2010-12-31,8.33,$1.07,7.78
2010-09-30,7.78,$0.73,10.66
2010-06-30,6.69,$0.74,9.05
2010-03-31,7.86,$0.69,11.39
2009-12-31,6.88,$0.73,9.42
