Patterson PE Ratio Historical Data,Patterson PE Ratio Historical Data,Patterson PE Ratio Historical Data,Patterson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.19,,20.25
2025-01-31,30.95,$1.54,20.1
2024-10-31,21.01,$1.71,12.29
2024-07-31,24.95,$1.83,13.63
2024-04-30,24.9,$2.00,12.45
2024-01-31,28.9,$2.03,14.24
2023-10-31,29.23,$2.06,14.19
2023-07-31,31.3,$2.19,14.29
2023-04-30,25.59,$2.12,12.07
2023-01-31,28.23,$2.00,14.11
2022-10-31,24.06,$2.03,11.85
2022-07-31,28.49,$1.97,14.46
2022-04-30,27.99,$2.07,13.52
2022-01-31,25.9,$1.72,15.06
2021-10-31,27.96,$1.64,17.05
2021-07-31,27.62,$1.71,16.15
2021-04-30,28.27,$1.61,17.56
2021-01-31,27.64,$-5.13,0.0
2020-10-31,21.54,$-5.39,0.0
2020-07-31,22.78,$-6.30,0.0
2020-04-30,15.51,$-6.23,0.0
2020-01-31,18.36,$0.51,36.0
2019-10-31,14.12,$0.60,23.53
2019-07-31,16.07,$1.26,12.75
2019-04-30,17.51,$0.89,19.67
2019-01-31,17.66,$0.82,21.53
2018-10-31,17.67,$1.67,10.58
2018-07-31,18.98,$1.79,10.6
2018-04-30,17.82,$2.17,8.21
2018-01-31,27.16,$2.59,10.49
2017-10-31,27.8,$1.67,16.65
2017-07-31,31.13,$1.72,18.1
2017-04-30,33.0,$1.79,18.44
2017-01-31,30.68,$1.82,16.86
2016-10-31,31.31,$2.15,14.56
2016-07-31,35.99,$2.03,17.73
2016-04-30,31.46,$1.93,16.3
2016-01-31,30.65,$1.90,16.13
2015-10-31,34.04,$1.86,18.3
2015-07-31,35.85,$2.04,17.57
2015-04-30,33.41,$2.24,14.91
2015-01-31,35.48,$2.14,16.58
2014-10-31,30.41,$2.15,14.14
2014-07-31,27.39,$2.02,13.56
2014-04-30,28.43,$1.97,14.43
2014-01-31,27.78,$2.04,13.62
2013-10-31,29.44,$2.00,14.72
2013-07-31,28.21,$2.03,13.9
2013-04-30,26.07,$2.03,12.84
2013-01-31,24.71,$1.99,12.42
2012-10-31,22.75,$1.97,11.55
2012-07-31,23.13,$1.96,11.8
2012-04-30,23.03,$1.93,11.93
2012-01-31,21.66,$1.88,11.52
2011-10-31,21.09,$1.85,11.4
2011-07-31,20.58,$1.87,11.01
2011-04-30,23.08,$1.90,12.15
2011-01-31,21.9,$1.89,11.59
2010-10-31,18.26,$1.89,9.66
2010-07-31,17.56,$1.85,9.49
2010-04-30,20.96,$1.78,11.78
2010-01-31,18.67,$1.72,10.86
2009-10-31,16.69,$1.70,9.82
