Aeva Technologies PE Ratio Historical Data,Aeva Technologies PE Ratio Historical Data,Aeva Technologies PE Ratio Historical Data,Aeva Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.19,,0.0
2024-09-30,3.29,$-3.09,0.0
2024-06-30,2.52,$-3.14,0.0
2024-03-31,3.93,$-3.12,0.0
2023-12-31,3.79,$-3.25,0.0
2023-09-30,3.82,$-3.35,0.0
2023-06-30,6.25,$-3.45,0.0
2023-03-31,5.95,$-3.45,0.0
2022-12-31,6.8,$-3.40,0.0
2022-09-30,9.35,$-3.15,0.0
2022-06-30,15.65,$-2.95,0.0
2022-03-31,21.65,$-2.70,0.0
2021-12-31,37.8,$-2.55,0.0
2021-09-30,39.7,$-1.80,0.0
2021-06-30,52.85,$-1.15,0.0
2021-03-31,58.0,$-0.60,0.0
2020-12-31,72.7,0,0.0
