TROOPS PE Ratio Historical Data,TROOPS PE Ratio Historical Data,TROOPS PE Ratio Historical Data,TROOPS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.84,,inf
2024-06-30,2.06,0.0,0.0
2023-12-31,2.99,0.0,0.0
2023-06-30,3.99,0.0,0.0
