Macerich PE Ratio Historical Data,Macerich PE Ratio Historical Data,Macerich PE Ratio Historical Data,Macerich PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.28,,0.0
2024-12-31,19.92,$-0.79,0.0
2024-09-30,18.08,$0.39,46.36
2024-06-30,15.13,$-0.33,0.0
2024-03-31,16.7,$-1.56,0.0
2023-12-31,14.82,$-1.27,0.0
2023-09-30,10.3,$-1.55,0.0
2023-06-30,10.49,$-0.40,0.0
2023-03-31,9.69,$-0.40,0.0
2022-12-31,10.16,$-0.30,0.0
2022-09-30,7.06,$-0.39,0.0
2022-06-30,7.64,$0.18,42.46
2022-03-31,13.55,$0.20,67.76
2021-12-31,14.83,$-0.03,0.0
2021-09-30,14.25,$-1.14,0.0
2021-06-30,15.41,$-1.79,0.0
2021-03-31,9.77,$-1.92,0.0
2020-12-31,8.8,$-1.47,0.0
2020-09-30,5.48,$-0.09,0.0
2020-06-30,7.11,$0.39,18.22
2020-03-31,4.39,$0.68,6.45
2019-12-31,20.33,$0.68,29.89
2019-09-30,23.24,$0.57,40.77
2019-06-30,24.02,$0.76,31.61
2019-03-31,30.53,$0.70,43.62
2018-12-31,29.97,$0.41,73.09
2018-09-30,37.72,$0.56,67.36
2018-06-30,38.28,$0.16,239.25
2018-03-31,37.26,$0.30,124.21
2017-12-31,43.15,$1.02,42.31
2017-09-30,35.69,$1.05,33.99
2017-06-30,37.22,$1.02,36.49
2017-03-31,40.81,$1.14,35.8
2016-12-31,44.42,$3.42,12.99
2016-09-30,50.19,$5.81,8.64
2016-06-30,52.57,$5.93,8.86
2016-03-31,48.35,$5.71,8.47
2015-12-31,48.8,$3.10,15.74
2015-09-30,43.13,$9.96,4.33
2015-06-30,41.55,$10.00,4.15
2015-03-31,46.6,$10.02,4.65
2014-12-31,45.74,$10.00,4.57
2014-09-30,34.67,$1.52,22.81
2014-06-30,35.92,$1.54,23.32
2014-03-31,33.22,$3.00,11.07
2013-12-31,31.07,$3.00,10.36
2013-09-30,29.46,$3.24,9.09
2013-06-30,31.5,$3.30,9.55
2013-03-31,32.99,$2.73,12.08
2012-12-31,29.59,$2.49,11.88
2012-09-30,28.76,$2.45,11.74
2012-06-30,29.39,$2.22,13.24
2012-03-31,28.48,$1.07,26.62
2011-12-31,24.71,$1.18,20.94
2011-09-30,20.6,$0.13,158.45
2011-06-30,25.59,$0.09,284.37
2011-03-31,23.46,$0.23,102.0
2010-12-31,22.21,$0.15,148.08
2010-09-30,19.92,$-0.21,0.0
2010-06-30,17.1,$1.48,11.56
2010-03-31,17.35,$1.20,14.46
2009-12-31,15.96,$1.46,10.93
