Penns Woods Bancorp PE Ratio Historical Data,Penns Woods Bancorp PE Ratio Historical Data,Penns Woods Bancorp PE Ratio Historical Data,Penns Woods Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.41,,15.19
2024-12-31,30.39,$1.87,16.25
2024-09-30,23.56,$2.64,8.92
2024-06-30,20.05,$2.31,8.68
2024-03-31,18.64,$2.18,8.55
2023-12-31,21.26,$2.31,9.2
2023-09-30,19.6,$2.18,8.99
2023-06-30,22.98,$2.61,8.8
2023-03-31,20.93,$2.62,7.99
2022-12-31,23.8,$2.47,9.64
2022-09-30,20.23,$2.52,8.03
2022-06-30,20.11,$2.36,8.52
2022-03-31,20.99,$2.27,9.25
2021-12-31,20.05,$2.27,8.83
2021-09-30,20.02,$2.13,9.4
2021-06-30,19.67,$2.18,9.02
2021-03-31,19.65,$2.20,8.93
2020-12-31,20.97,$2.14,9.8
2020-09-30,15.81,$1.98,7.98
2020-06-30,17.82,$2.01,8.87
2020-03-31,18.84,$2.09,9.03
2019-12-31,27.24,$2.22,12.29
2019-09-30,23.39,$2.42,9.67
2019-06-30,22.64,$2.31,9.81
2019-03-31,20.33,$2.19,9.27
2018-12-31,19.69,$2.09,9.44
2018-09-30,21.02,$1.59,13.19
2018-06-30,21.44,$1.51,14.17
2018-03-31,20.05,$1.45,13.8
2017-12-31,21.84,$1.37,15.9
2017-09-30,21.58,$1.69,12.79
2017-06-30,18.91,$1.65,11.44
2017-03-31,19.73,$1.70,11.61
2016-12-31,22.7,$1.76,12.9
2016-09-30,19.79,$1.87,10.56
2016-06-30,18.49,$1.91,9.67
2016-03-31,16.79,$1.91,8.78
2015-12-31,18.28,$1.95,9.39
2015-09-30,17.44,$1.82,9.58
2015-06-30,18.57,$2.01,9.26
2015-03-31,20.38,$2.01,10.16
2014-12-31,20.32,$2.02,10.06
2014-09-30,17.24,$2.11,8.19
2014-06-30,19.02,$1.89,10.05
2014-03-31,19.5,$2.00,9.75
2013-12-31,20.19,$2.16,9.35
2013-09-30,19.55,$2.21,8.83
2013-06-30,16.26,$2.41,6.75
2013-03-31,15.73,$2.41,6.52
2012-12-31,14.11,$2.41,5.85
2012-09-30,16.52,$2.46,6.72
2012-06-30,14.67,$2.37,6.2
2012-03-31,14.88,$2.29,6.49
2011-12-31,13.94,$2.15,6.49
2011-09-30,11.63,$2.06,5.64
2011-06-30,12.03,$2.01,6.0
2011-03-31,13.46,$1.97,6.84
2010-12-31,13.6,$1.90,7.16
2010-09-30,11.16,$1.83,6.09
2010-06-30,10.12,$1.67,6.05
2010-03-31,11.0,$1.34,8.21
2009-12-31,10.49,$1.06,9.89
