Fossil PE Ratio Historical Data,Fossil PE Ratio Historical Data,Fossil PE Ratio Historical Data,Fossil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.28,,0.0
2024-12-31,1.67,$-1.79,0.0
2024-09-30,1.17,$-2.33,0.0
2024-06-30,1.44,$-2.89,0.0
2024-03-31,1.02,$-2.67,0.0
2023-12-31,1.46,$-3.01,0.0
2023-09-30,2.06,$-2.65,0.0
2023-06-30,2.57,$-1.38,0.0
2023-03-31,3.2,$-1.24,0.0
2022-12-31,4.31,$-0.85,0.0
2022-09-30,3.42,$-0.30,0.0
2022-06-30,5.17,$0.19,27.21
2022-03-31,9.64,$0.54,17.85
2021-12-31,10.29,$0.48,21.44
2021-09-30,11.85,$0.03,395.0
2021-06-30,14.28,$-0.26,0.0
2021-03-31,12.4,$-0.68,0.0
2020-12-31,8.67,$-1.90,0.0
2020-09-30,5.74,$-1.96,0.0
2020-06-30,4.65,$-2.78,0.0
2020-03-31,3.29,$-2.49,0.0
2019-12-31,7.88,$-1.05,0.0
2019-09-30,12.51,$0.03,417.0
2019-06-30,11.5,$0.64,17.97
2019-03-31,13.72,$0.63,21.78
2018-12-31,15.73,$-0.11,0.0
2018-09-30,23.28,$-2.70,0.0
2018-06-30,26.87,$-2.91,0.0
2018-03-31,12.7,$-9.86,0.0
2017-12-31,7.77,$-9.87,0.0
2017-09-30,9.33,$-7.19,0.0
2017-06-30,10.35,$-6.72,0.0
2017-03-31,17.45,$0.51,34.22
2016-12-31,25.86,$1.63,15.87
2016-09-30,27.77,$2.06,13.48
2016-06-30,28.53,$2.89,9.87
2016-03-31,44.42,$3.89,11.42
2015-12-31,36.56,$4.52,8.09
2015-09-30,55.88,$6.06,9.22
2015-06-30,69.36,$6.83,10.16
2015-03-31,82.45,$6.69,12.32
2014-12-31,110.74,$7.16,15.47
2014-09-30,93.9,$6.84,13.73
2014-06-30,104.52,$6.46,16.18
2014-03-31,116.57,$6.63,17.58
2013-12-31,119.94,$6.62,18.12
2013-09-30,116.24,$6.45,18.02
2013-06-30,103.31,$6.13,16.85
2013-03-31,96.6,$5.90,16.37
2012-12-31,93.1,$5.62,16.57
2012-09-30,84.7,$4.98,17.01
2012-06-30,76.54,$4.81,15.91
2012-03-31,131.98,$4.69,28.14
2011-12-31,79.36,$4.62,17.18
2011-09-30,81.06,$4.21,19.25
2011-06-30,117.72,$4.12,28.57
2011-03-31,93.65,$4.12,22.73
2010-12-31,70.48,$3.79,18.6
2010-09-30,53.79,$3.36,16.01
2010-06-30,34.7,$2.88,12.05
2010-03-31,37.74,$2.33,16.2
2009-12-31,33.56,$2.06,16.29
