Blue Foundry Bancorp PE Ratio Historical Data,Blue Foundry Bancorp PE Ratio Historical Data,Blue Foundry Bancorp PE Ratio Historical Data,Blue Foundry Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.32,,0.0
2024-09-30,10.25,$-0.56,0.0
2024-06-30,9.07,$-0.43,0.0
2024-03-31,9.36,$-0.40,0.0
2023-12-31,9.67,$-0.32,0.0
2023-09-30,8.37,$-0.17,0.0
2023-06-30,10.11,$-0.06,0.0
2023-03-31,9.52,$0.02,476.0
2022-12-31,12.85,$0.09,142.78
2022-09-30,11.15,$-0.68,0.0
2022-06-30,11.99,$-1.41,0.0
