Skillful Craftsman Education Technology PE Ratio Historical Data,Skillful Craftsman Education Technology PE Ratio Historical Data,Skillful Craftsman Education Technology PE Ratio Historical Data,Skillful Craftsman Education Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.09,,inf
2024-09-30,1.14,0.0,0.0
2024-03-31,0.95,0.0,0.0
2023-09-30,1.02,0.0,0.0
2023-03-31,1.86,0.0,0.0
2022-09-30,0.95,0.0,0.0
2022-03-31,1.25,0.0,0.0
