Fidus Investment PE Ratio Historical Data,Fidus Investment PE Ratio Historical Data,Fidus Investment PE Ratio Historical Data,Fidus Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.47,,8.49
2024-12-31,21.02,$2.41,8.72
2024-09-30,19.6,$2.80,7.0
2024-06-30,18.93,$3.22,5.88
2024-03-31,18.62,$2.91,6.4
2023-12-31,17.95,$2.88,6.23
2023-09-30,16.82,$2.16,7.79
2023-06-30,16.54,$1.72,9.62
2023-03-31,15.53,$1.61,9.64
2022-12-31,14.98,$1.47,10.19
2022-09-30,13.12,$3.34,3.93
2022-06-30,13.04,$4.03,3.23
2022-03-31,14.74,$4.76,3.1
2021-12-31,12.78,$4.75,2.69
2021-09-30,12.12,$3.89,3.12
2021-06-30,11.54,$3.58,3.22
2021-03-31,10.32,$2.85,3.62
2020-12-31,8.48,$1.28,6.63
2020-09-30,6.22,$0.90,6.91
2020-06-30,5.56,$0.62,8.97
2020-03-31,3.92,$0.42,9.34
2019-12-31,8.44,$1.98,4.26
2019-09-30,8.21,$1.65,4.97
2019-06-30,8.6,$1.69,5.09
2019-03-31,8.07,$1.87,4.31
2018-12-31,6.0,$2.02,2.97
2018-09-30,7.27,$2.04,3.57
2018-06-30,6.89,$1.92,3.59
2018-03-31,6.08,$2.05,2.97
2017-12-31,6.95,$1.86,3.74
2017-09-30,7.17,$1.97,3.64
2017-06-30,7.32,$1.93,3.79
2017-03-31,7.47,$2.23,3.35
2016-12-31,6.53,$2.27,2.88
2016-09-30,6.37,$2.13,2.99
2016-06-30,6.03,$2.02,2.99
2016-03-31,5.97,$1.67,3.58
2015-12-31,5.13,$1.61,3.19
2015-09-30,5.01,$1.59,3.15
2015-06-30,5.28,$1.63,3.24
2015-03-31,5.31,$1.49,3.56
2014-12-31,5.01,$1.34,3.74
2014-09-30,5.4,$1.22,4.43
2014-06-30,6.55,$1.17,5.6
2014-03-31,6.03,$1.90,3.18
2013-12-31,6.66,$2.01,3.31
2013-09-30,5.73,$2.10,2.73
2013-06-30,5.41,$2.43,2.23
2013-03-31,5.42,$1.90,2.85
2012-12-31,4.57,$1.91,2.39
2012-09-30,4.52,$1.94,2.33
2012-06-30,4.02,$1.61,2.49
2012-03-31,3.62,$1.69,2.14
