Vaccinex PE Ratio Historical Data,Vaccinex PE Ratio Historical Data,Vaccinex PE Ratio Historical Data,Vaccinex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,3.3,,0.0
2024-06-30,6.49,$-60.71,0.0
2024-03-31,7.41,$-82.80,0.0
2023-12-31,9.31,$-100.86,0.0
2023-09-30,15.82,$-84.56,0.0
2023-06-30,74.76,$-92.39,0.0
2023-03-31,83.9,$-94.49,0.0
2022-12-31,135.35,$-98.69,0.0
2022-09-30,103.95,$-107.09,0.0
2022-06-30,226.8,$-119.69,0.0
2022-03-31,277.2,$-146.99,0.0
2021-12-31,218.4,$-121.79,0.0
2021-09-30,453.6,$-182.68,0.0
2021-03-31,625.8,$-228.88,0.0
2020-12-31,434.7,$-268.77,0.0
2020-09-30,373.8,$-348.57,0.0
2020-06-30,758.1,$-373.76,0.0
2020-03-31,840.0,$-453.56,0.0
2019-12-31,1018.5,$-524.95,0.0
2019-09-30,1505.7,$-445.16,0.0
2019-06-30,1159.2,$-522.85,0.0
2019-03-31,1104.6,$-405.26,0.0
