Zurn Elkay Water Solutions Cor PE Ratio Historical Data,Zurn Elkay Water Solutions Cor PE Ratio Historical Data,Zurn Elkay Water Solutions Cor PE Ratio Historical Data,Zurn Elkay Water Solutions Cor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.64,,36.57
2024-12-31,37.3,$0.92,40.54
2024-09-30,35.86,$0.79,45.39
2024-06-30,29.26,$0.78,37.51
2024-03-31,33.23,$0.71,46.8
2023-12-31,29.12,$0.65,44.8
2023-09-30,27.67,$0.65,42.57
2023-06-30,26.49,$0.30,88.3
2023-03-31,20.98,$0.38,55.2
2022-12-31,20.71,$0.49,42.26
2022-09-30,23.92,$-0.11,0.0
2022-06-30,26.53,$0.51,52.03
2022-03-31,34.44,$0.82,42.01
2021-12-31,35.39,$0.98,36.11
2021-09-30,62.45,$1.50,41.63
2021-06-30,48.53,$1.36,35.69
2021-03-31,45.59,$1.06,43.01
2020-12-31,38.16,$0.89,42.87
2020-09-30,28.77,$1.28,22.48
2020-06-30,28.03,$1.37,20.46
2020-03-31,21.73,$1.46,14.89
2019-12-31,31.2,$1.23,25.37
2019-09-30,25.87,$1.05,24.64
2019-06-30,28.91,$0.29,99.68
2019-03-31,24.05,$-0.15,0.0
2018-12-31,21.95,$-0.15,0.0
2018-09-30,29.46,$0.31,95.04
2018-06-30,27.8,$0.84,33.09
2018-03-31,28.39,$1.10,25.81
2017-12-31,24.89,$1.10,22.63
2017-09-30,24.31,$0.45,54.01
2017-06-30,22.24,$0.46,48.35
2017-03-31,22.08,$0.44,50.18
2016-12-31,18.74,$0.44,42.59
2016-09-30,20.48,$0.66,31.03
2016-06-30,18.78,$0.64,29.34
2016-03-31,19.34,$0.66,29.31
2015-12-31,17.33,$0.66,26.26
2015-09-30,16.24,$0.44,36.91
2015-06-30,22.87,$0.58,39.43
2015-03-31,25.53,$0.49,52.1
2014-12-31,26.98,$0.49,55.07
2014-09-30,27.21,$0.75,36.29
2014-06-30,26.93,$-0.15,0.0
2014-03-31,27.72,$-0.12,0.0
2013-12-31,25.84,$-0.12,0.0
2013-09-30,19.9,$-0.31,0.0
2013-06-30,16.12,$0.42,38.38
2013-03-31,20.31,$0.26,78.11
2012-12-31,20.37,$0.26,78.36
