Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,251.94,,34.14
2024-12-31,234.32,$7.38,31.75
2024-09-30,255.33,$7.13,35.81
2024-06-30,237.46,$5.96,39.84
2024-03-31,229.84,$5.40,42.56
2023-12-31,196.94,$4.79,41.12
2023-09-30,167.71,$4.31,38.91
2023-06-30,184.28,$4.11,44.84
2023-03-31,162.92,$4.04,40.33
2022-12-31,142.78,$3.82,37.38
2022-09-30,141.13,$3.93,35.91
2022-06-30,149.78,$3.84,39.0
2022-03-31,171.4,$3.84,44.63
2021-12-31,227.03,$3.91,58.06
2021-09-30,201.45,$3.91,51.52
2021-06-30,198.47,$3.64,54.52
2021-03-31,205.81,$-4.42,0.0
2020-12-31,207.55,$-4.12,0.0
2020-09-30,191.28,$-3.69,0.0
2020-06-30,189.99,$-2.95,0.0
2020-03-31,148.46,$5.29,28.07
2019-12-31,183.35,$5.33,34.4
2019-09-30,187.67,$5.21,36.02
2019-06-30,186.66,$5.10,36.6
2019-03-31,166.5,$5.04,33.03
2018-12-31,138.6,$4.87,28.46
2018-09-30,147.02,$5.45,26.98
2018-06-30,131.25,$5.31,24.72
2018-03-31,127.84,$5.12,24.97
2017-12-31,124.77,$5.14,24.27
2017-09-30,119.23,$4.45,26.79
2017-06-30,122.72,$4.38,28.02
2017-03-31,115.55,$4.24,27.25
2016-12-31,107.75,$4.15,25.96
2016-09-30,111.54,$3.60,30.98
2016-06-30,108.36,$3.19,33.97
2016-03-31,101.59,$3.32,30.6
2015-12-31,103.85,$3.32,31.28
2015-09-30,99.31,$3.73,26.63
2015-06-30,102.04,$4.06,25.13
2015-03-31,102.93,$4.08,25.23
2014-12-31,93.78,$3.93,23.86
2014-09-30,102.7,$3.76,27.31
2014-06-30,99.34,$3.57,27.83
2014-03-31,96.11,$3.24,29.66
2013-12-31,92.57,$3.15,29.39
2013-09-30,87.44,$2.99,29.24
2013-06-30,75.25,$2.79,26.97
2013-03-31,70.63,$2.72,25.97
2012-12-31,63.15,$2.36,26.76
2012-09-30,56.73,$1.93,29.4
2012-06-30,59.8,$1.78,33.6
2012-03-31,53.7,$1.69,31.78
2011-12-31,50.13,$1.92,26.11
2011-09-30,42.24,$2.14,19.74
2011-06-30,48.55,$2.23,21.77
2011-03-31,43.79,$2.25,19.46
2010-12-31,43.12,$2.25,19.16
2010-09-30,43.24,$2.17,19.93
2010-06-30,38.16,$2.03,18.8
2010-03-31,37.22,$1.89,19.69
2009-12-31,37.61,$1.73,21.74
