Martin Marietta Materials PE Ratio Historical Data,Martin Marietta Materials PE Ratio Historical Data,Martin Marietta Materials PE Ratio Historical Data,Martin Marietta Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,483.78,,14.96
2024-12-31,516.5,$32.33,15.98
2024-09-30,537.53,$32.09,16.75
2024-06-30,540.26,$32.90,16.42
2024-03-31,612.19,$33.75,18.14
2023-12-31,496.87,$18.83,26.39
2023-09-30,408.15,$17.23,23.69
2023-06-30,458.31,$15.24,30.07
2023-03-31,351.88,$15.49,22.72
2022-12-31,334.34,$13.88,24.09
2022-09-30,318.05,$13.43,23.68
2022-06-30,294.93,$12.77,23.1
2022-03-31,378.67,$10.52,35.99
2021-12-31,432.7,$11.22,38.57
2021-09-30,335.11,$11.65,28.76
2021-06-30,344.49,$12.29,28.03
2021-03-31,328.32,$12.17,26.98
2020-12-31,277.16,$11.54,24.02
2020-09-30,229.22,$10.70,21.42
2020-06-30,200.62,$9.95,20.16
2020-03-31,183.26,$9.47,19.35
2019-12-31,270.16,$9.74,27.74
2019-09-30,264.26,$9.15,28.88
2019-06-30,221.37,$8.04,27.53
2019-03-31,193.1,$7.95,24.29
2018-12-31,164.56,$7.43,22.15
2018-09-30,173.77,$11.88,14.63
2018-06-30,212.78,$11.42,18.63
2018-03-31,197.12,$10.75,18.34
2017-12-31,209.73,$11.26,18.63
2017-09-30,195.26,$6.86,28.46
2017-06-30,210.31,$6.96,30.22
2017-03-31,205.84,$6.61,31.14
2016-12-31,208.53,$6.63,31.45
2016-09-30,168.28,$6.34,26.54
2016-06-30,179.99,$5.59,32.2
2016-03-31,149.22,$4.91,30.39
2015-12-31,127.41,$4.29,29.7
2015-09-30,141.39,$3.98,35.53
2015-06-30,131.36,$3.03,43.35
2015-03-31,129.43,$3.08,42.02
2014-12-31,101.85,$2.54,40.1
2014-09-30,118.66,$2.36,50.28
2014-06-30,121.15,$3.11,38.96
2014-03-31,117.38,$2.73,43.0
2013-12-31,91.1,$2.59,35.17
2013-09-30,89.12,$2.28,39.09
2013-06-30,88.97,$2.10,42.37
2013-03-31,91.9,$2.01,45.72
2012-12-31,84.57,$1.81,46.73
2012-09-30,74.0,$1.67,44.31
2012-06-30,70.01,$1.38,50.73
2012-03-31,75.61,$1.36,55.59
2011-12-31,66.28,$1.78,37.24
2011-09-30,55.26,$1.78,31.05
2011-06-30,69.51,$1.84,37.78
2011-03-31,77.57,$2.24,34.63
2010-12-31,79.44,$2.09,38.01
2010-09-30,65.98,$1.70,38.81
2010-06-30,72.3,$1.80,40.17
2010-03-31,70.91,$1.48,47.91
2009-12-31,75.51,$1.88,40.16
