Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,279.03,,43.87
2025-01-31,341.7,$6.36,53.73
2024-10-31,291.37,$6.08,47.92
2024-07-31,258.39,$5.75,44.94
2024-04-30,268.09,$5.56,48.22
2024-01-31,279.83,$4.20,66.63
2023-10-31,199.93,$2.63,76.02
2023-07-31,224.0,$1.59,140.88
2023-04-30,197.48,$0.38,519.69
2023-01-31,167.22,$0.21,796.28
2022-10-31,161.86,$0.28,578.08
2022-07-31,183.2,$0.54,339.26
2022-04-30,175.15,$1.03,170.05
2022-01-31,231.59,$1.50,154.39
2021-10-31,298.35,$1.81,164.83
2021-07-31,240.85,$2.49,96.73
2021-04-30,229.29,$4.78,47.97
2021-01-31,224.55,$4.39,51.15
2020-10-31,231.23,$3.83,60.37
2020-07-31,193.98,$2.56,75.77
2020-04-30,161.23,$-0.18,0.0
2020-01-31,181.5,$0.20,907.48
2019-10-31,155.79,$0.94,165.73
2019-07-31,153.81,$1.19,129.25
2019-04-30,164.61,$1.47,111.98
2019-01-31,151.29,$1.44,105.06
2018-10-31,136.63,$1.07,127.69
2018-07-31,136.54,$1.01,135.19
2018-04-30,120.45,$0.64,188.2
2018-01-31,113.4,$0.17,667.06
2017-10-31,101.88,$0.01,10188.27
2017-07-31,90.39,$-0.11,0.0
2017-04-30,85.74,$0.20,428.68
2017-01-31,78.75,$0.27,291.65
2016-10-31,74.82,$0.30,249.41
2016-07-31,81.43,$0.31,262.69
2016-04-30,75.46,$-0.02,0.0
2016-01-31,67.76,$-0.07,0.0
2015-10-31,77.36,$-0.13,0.0
2015-07-31,72.97,$-0.15,0.0
2015-04-30,72.49,$-0.25,0.0
2015-01-31,56.2,$-0.42,0.0
2014-10-31,63.7,$-0.51,0.0
2014-07-31,54.01,$-0.66,0.0
2014-04-30,51.42,$-0.44,0.0
2014-01-31,60.26,$-0.40,0.0
2013-10-31,53.12,$-0.25,0.0
2013-07-31,43.55,$-0.42,0.0
2013-04-30,40.93,$-0.56,0.0
2013-01-31,42.84,$-0.48,0.0
2012-10-31,36.33,$-0.45,0.0
2012-07-31,30.95,$-0.07,0.0
2012-04-30,38.76,$-0.06,0.0
2012-01-31,29.07,$-0.02,0.0
2011-10-31,33.14,$0.01,0.0
2011-07-31,36.02,$0.05,720.32
2011-04-30,34.5,$0.09,405.83
2011-01-31,32.14,$0.12,273.54
2010-10-31,28.89,$0.14,210.09
2010-07-31,24.63,$0.14,175.91
2010-04-30,21.3,$0.16,137.45
2010-01-31,15.82,$0.16,98.85
2009-10-31,14.12,$0.15,95.76
