China Yuchai PE Ratio Historical Data,China Yuchai PE Ratio Historical Data,China Yuchai PE Ratio Historical Data,China Yuchai PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.13,,9.71
2020-06-30,11.05,$1.97,5.61
2020-03-31,8.27,$1.64,5.04
2019-12-31,10.25,$2.15,4.77
2019-09-30,9.95,$2.09,4.76
2019-06-30,10.88,$2.38,4.57
2019-03-31,11.5,$2.35,4.89
2018-12-31,9.03,$2.57,3.51
2018-09-30,12.53,$3.42,3.66
2018-06-30,15.75,$3.57,4.41
2018-03-31,13.91,$3.56,3.91
2017-12-31,15.77,$3.51,4.49
2017-09-30,14.62,$2.78,5.26
2017-06-30,11.96,$2.45,4.88
2017-03-31,11.56,$2.44,4.74
2016-12-31,8.63,$1.90,4.54
2016-09-30,6.78,$1.33,5.1
2016-06-30,6.76,$1.05,6.44
2016-03-31,5.7,$1.34,4.26
2015-12-31,6.23,$1.44,4.33
2015-09-30,7.16,$2.24,3.2
2015-06-30,9.7,$2.85,3.4
2015-03-31,10.78,$2.81,3.84
2014-12-31,10.38,$3.14,3.3
2014-09-30,10.12,$3.19,3.17
2014-06-30,11.59,$3.04,3.81
2014-03-31,10.93,$3.04,3.6
2013-12-31,10.77,$3.00,3.59
2013-09-30,12.27,$2.85,4.31
2013-06-30,9.06,$2.86,3.17
2013-03-31,8.03,$2.42,3.32
2012-12-31,7.92,$2.40,3.3
2012-09-30,6.4,$2.93,2.19
2012-06-30,6.86,$2.73,2.51
2012-03-31,7.74,$3.09,2.51
2011-12-31,6.73,$3.31,2.03
2011-09-30,7.11,$3.72,1.91
2011-06-30,10.29,$4.32,2.38
2011-03-31,13.74,$4.39,3.13
2010-12-31,14.85,$4.52,3.29
2010-09-30,8.96,$3.03,2.96
2010-06-30,7.22,$3.14,2.3
2010-03-31,8.22,$2.62,3.14
2009-12-31,6.8,$2.47,2.75
