LM Funding America PE Ratio Historical Data,LM Funding America PE Ratio Historical Data,LM Funding America PE Ratio Historical Data,LM Funding America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.48,,0.0
2024-09-30,2.66,$-4.91,0.0
2024-06-30,4.05,$-4.48,0.0
2024-03-31,3.66,$-4.14,0.0
2023-12-31,3.7,$-7.21,0.0
2023-09-30,2.93,$-15.54,0.0
2023-06-30,4.2,$-16.62,0.0
2023-03-31,4.68,$-13.20,0.0
2022-12-31,3.31,$-13.38,0.0
2022-09-30,5.82,$-12.06,0.0
2022-06-30,4.89,$-9.00,0.0
2022-03-31,17.16,$1.98,8.67
2021-12-31,29.16,$9.42,3.1
2021-09-30,24.54,$17.10,1.44
2021-06-30,25.74,$8.70,2.96
2021-03-31,38.7,$-6.90,0.0
2020-12-31,20.1,$-16.80,0.0
2020-09-30,19.71,$-34.19,0.0
2020-06-30,41.1,$-28.49,0.0
2020-03-31,17.4,$-29.39,0.0
2019-12-31,23.25,$-28.79,0.0
2019-09-30,27.6,$-18.90,0.0
2019-06-30,36.3,$-44.39,0.0
2019-03-31,41.4,$-19.20,0.0
2018-12-31,35.4,$-14.70,0.0
2018-09-30,150.0,$-7.20,0.0
2018-06-30,131.62,$-407.92,0.0
2018-03-31,249.0,$-500.90,0.0
2017-12-31,474.0,$-536.89,0.0
2017-09-30,525.0,$-584.88,0.0
2017-06-30,1249.95,$-239.95,0.0
2017-03-31,1234.86,$-212.96,0.0
2016-12-31,1221.0,$-215.96,0.0
2016-09-30,2424.0,$-167.97,0.0
