MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.72,,13.86
2024-12-31,81.88,$5.97,13.72
2024-09-30,81.91,$4.96,16.51
2024-06-30,69.15,$3.71,18.64
2024-03-31,72.46,$2.91,24.9
2023-12-31,64.15,$1.83,35.06
2023-09-30,60.5,$2.72,22.24
2023-06-30,53.93,$2.57,20.98
2023-03-31,54.74,$2.22,24.66
2022-12-31,67.89,$2.93,23.17
2022-09-30,56.63,$2.66,21.29
2022-06-30,58.05,$4.02,14.44
2022-03-31,64.48,$7.72,8.35
2021-12-31,56.94,$7.32,7.78
2021-09-30,55.82,$6.07,9.2
2021-06-30,53.7,$4.99,10.76
2021-03-31,54.15,$1.23,44.02
2020-12-31,41.45,$5.65,7.34
2020-09-30,32.43,$6.09,5.33
2020-06-30,31.48,$7.70,4.09
2020-03-31,26.0,$9.40,2.77
2019-12-31,42.97,$6.05,7.1
2019-09-30,39.4,$7.51,5.25
2019-06-30,41.1,$6.09,6.75
2019-03-31,34.9,$5.15,6.78
2018-12-31,33.35,$4.94,6.75
2018-09-30,37.59,$4.87,7.72
2018-06-30,34.76,$3.91,8.89
2018-03-31,36.26,$3.85,9.42
2017-12-31,39.61,$3.41,11.62
2017-09-30,40.41,$-0.50,0.0
2017-06-30,37.93,$0.09,421.39
2017-03-31,36.19,$-0.62,0.0
2016-12-31,36.64,$0.61,60.06
2016-09-30,29.95,$3.25,9.22
2016-06-30,26.58,$3.80,6.99
2016-03-31,29.05,$4.66,6.23
2015-12-31,31.59,$4.55,6.94
2015-09-30,30.67,$5.15,5.96
2015-06-30,36.18,$5.90,6.13
2015-03-31,32.43,$6.15,5.27
2014-12-31,34.45,$5.42,6.36
2014-09-30,34.0,$4.89,6.95
2014-06-30,34.92,$3.92,8.91
2014-03-31,32.96,$3.18,10.36
2013-12-31,33.46,$2.91,11.5
2013-09-30,28.97,$2.23,12.99
2013-06-30,28.08,$0.47,59.75
2013-03-31,23.18,$2.16,10.73
2012-12-31,19.98,$1.13,17.68
2012-09-30,20.44,$2.10,9.73
2012-06-30,18.3,$6.35,2.88
2012-03-31,22.15,$5.36,4.13
2011-12-31,18.49,$6.30,2.94
2011-09-30,16.26,$5.29,3.07
2011-06-30,25.46,$2.28,11.17
2011-03-31,25.96,$2.99,8.68
2010-12-31,25.79,$3.18,8.11
2010-09-30,21.93,$3.48,6.3
2010-06-30,21.54,$2.37,9.09
2010-03-31,24.72,$-1.21,0.0
2009-12-31,20.16,$-2.89,0.0
